ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
20525,111,D,PENNSYL,13,SCHWARTZ,ALLYSON,2,0,2,1,91
29561,111,D,PENNSYL,14,DOYLE,MICHAEL,4,1,3,0,82
20526,111,R,PENNSYL,15,DENT,CHARLES,3,1,2,0,27
29752,111,R,PENNSYL,16,PITTS,JOSEPH,3,2,1,0,0
20346,111,R,PENNSYL,18,MURPHY,TIM,1,0,1,0,9
20135,111,R,PENNSYL,19,PLATTS,TODD,2,1,1,0,27
20138,111,R,SOUTH C,2,WILSON,JOE,4,0,4,0,0
20347,111,R,SOUTH C,3,BARRETT,J. GRESHAM,3,1,2,0,0
15064,111,D,SOUTH C,5,SPRATT,JOHN,3,3,0,0,64
39301,111,D,SOUTH C,6,CLYBURN,JAMES,3,3,0,0,80
20947,111,R,TENNESS,1,ROE,DAVID,3,1,2,0,0
15455,111,R,TENNESS,2,DUNCAN,JOHN,4,2,2,0,0
29567,111,R,TENNESS,3,WAMP,ZACH    ,2,0,2,0,9
20350,111,D,TENNESS,4,DAVIS,LINCOLN,3,3,0,0,55
15019,111,D,TENNESS,5,COOPER,JIM,3,1,2,0,73
15100,111,D,TENNESS,6,GORDON,BART,1,1,0,0,64
20351,111,R,TENNESS,7,BLACKBURN,MARSHA,2,1,1,1,0
15628,111,D,TENNESS,8,TANNER,JOHN,2,1,1,0,50
20527,111,R,TEXAS,1,GOHMERT,LOUIE ,3,3,0,0,0
20528,111,R,TEXAS,2,POE,TED,4,3,1,0,0
29143,111,R,TEXAS,3,JOHNSON,SAM,3,2,1,0,0
94828,111,R,TEXAS,4,HALL,RALPH,3,0,3,0,0
20352,111,R,TEXAS,5,HENSARLING,JEB,2,1,1,0,0
15085,111,R,TEXAS,6,BARTON,JOE,6,2,3,0,0
20139,111,R,TEXAS,7,CULBERSON,JOHN,1,1,0,0,0
20531,111,R,TEXAS,11,CONAWAY,K. MICHAEL,4,3,1,0,0
29762,111,R,TEXAS,12,GRANGER,KAY,3,1,2,1,0
29572,111,R,TEXAS,13,THORNBERRY,MAC,2,1,1,0,0
14290,111,R,TEXAS,14,PAUL,RON,5,2,3,0,10
29763,111,D,TEXAS,15,HINOJOSA,RUBEN,5,4,1,0,90
29764,111,D,TEXAS,16,REYES,SILVESTRE,3,2,1,0,73
29144,111,D,TEXAS,17,EDWARDS,CHET,2,0,2,0,73
29573,111,D,TEXAS,18,JACKSON LEE,SHEILA,2,1,1,1,100
