REPRESENTATIVE,PARTY,STATE,VOTE,session,roll_no,chamber,congress,bio_url
Ackerman,Democratic,NY,AYE,2,56,House,101,
Akaka,Democratic,HI,AYE,2,56,House,101,
Alexander,Democratic,AR,NO,2,56,House,101,
Anderson,Democratic,CA,AYE,2,56,House,101,
Andrews (TX),Democratic,TX,NO,2,56,House,101,
Annunzio,Democratic,IL,NO,2,56,House,101,
Anthony,Democratic,AR,NO,2,56,House,101,
Applegate,Democratic,OH,NO,2,56,House,101,
Archer,Republican,TX,NO,2,56,House,101,
Armey,Republican,TX,NO,2,56,House,101,
Aspin,Democratic,WI,NO,2,56,House,101,
Atkins,Democratic,MA,NO,2,56,House,101,
AuCoin,Democratic,OR,AYE,2,56,House,101,
Baker (LA),Republican,LA,NO,2,56,House,101,
Ballenger,Republican,NC,NO,2,56,House,101,
Barnard,Democratic,GA,NO,2,56,House,101,
Bartlett,Republican,TX,NO,2,56,House,101,
Barton,Republican,TX,NO,2,56,House,101,
Bateman,Republican,VA,NO,2,56,House,101,
Bates,Democratic,CA,AYE,2,56,House,101,
Beilenson,Democratic,CA,AYE,2,56,House,101,
Bennett,Democratic,FL,NO,2,56,House,101,
Bentley,Republican,MD,NO,2,56,House,101,
Bereuter,Republican,NE,NO,2,56,House,101,
Berman,Democratic,CA,AYE,2,56,House,101,
Bevill,Democratic,AL,NO,2,56,House,101,
Bilbray,Democratic,NV,NO,2,56,House,101,
Bilirakis,Republican,FL,NO,2,56,House,101,
Bliley,Republican,VA,NO,2,56,House,101,
Boehlert,Republican,NY,AYE,2,56,House,101,
Boggs,Democratic,LA,NO,2,56,House,101,
Bonior,Democratic,MI,AYE,2,56,House,101,
Borski,Democratic,PA,NO,2,56,House,101,
Bosco,Democratic,CA,NO,2,56,House,101,
Boucher,Democratic,VA,NO,2,56,House,101,
Boxer,Democratic,CA,AYE,2,56,House,101,
Brennan,Democratic,ME,AYE,2,56,House,101,
Brooks,Democratic,TX,NO,2,56,House,101,
Broomfield,Republican,MI,NO,2,56,House,101,
