Cosponsor,Date Cosponsored,bill,bill_name,congress,bio_url
"Rep. DeLauro, Rosa L. [D-CT-3] ",,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/rosa-delauro/D000216
"Rep. Miller, George [D-CA-7]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/george-miller/M000725
"Rep. Hare, Phil [D-IL-17]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/phil-hare/H001040
"Rep. Hinchey, Maurice D. [D-NY-22]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/maurice-hinchey/H000627
"Rep. Serrano, Jose E. [D-NY-16]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/jose-serrano/S000248
"Rep. Schakowsky, Janice D. [D-IL-9]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/janice-schakowsky/S001145
"Rep. Capps, Lois [D-CA-23]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/lois-capps/C001036
"Rep. Nadler, Jerrold [D-NY-8]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/jerrold-nadler/N000002
"Rep. McGovern, James P. [D-MA-3]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/james-mcgovern/M000312
"Rep. Frank, Barney [D-MA-4]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/barney-frank/F000339
"Rep. Maloney, Carolyn B. [D-NY-14]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/carolyn-maloney/M000087
"Rep. Gutierrez, Luis V. [D-IL-4]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/luis-gutierrez/G000535
"Rep. McCarthy, Carolyn [D-NY-4]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/carolyn-mccarthy/M000309
"Rep. Walz, Timothy J. [D-MN-1]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/timothy-walz/W000799
"Rep. Rush, Bobby L. [D-IL-1]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/bobby-rush/R000515
"Rep. Baldwin, Tammy [D-WI-2]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/tammy-baldwin/B001230
"Rep. Holt, Rush [D-NJ-12]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/rush-holt/H001032
"Rep. Sanchez, Linda T. [D-CA-39]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/linda-sanchez/S001156
"Del. Norton, Eleanor Holmes [D-DC-At Large]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/eleanor-norton/N000147
"Rep. Filner, Bob [D-CA-51]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/bob-filner/F000116
"Rep. Jackson-Lee, Sheila [D-TX-18]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/sheila-jackson-lee/J000032
"Rep. Stark, Fortney Pete [D-CA-13]*",5/18/2009,H.R.2460,Healthy Families Act,111,https://www.congress.gov/member/pete-stark/S000810
