representative,party,state,vote,session,roll_no,chamber,congress,bio_url
Bonilla,Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000617
Bonner,Republican,AL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001244
Bono,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001228
Boozman,Republican,AR,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001236
Boren,Democratic,OK,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001254
Boswell,Democratic,IA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000652
Boucher,Democratic,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000657
Boustany,Republican,LA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001255
Boyd,Democratic,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000716
Bradley (NH),Republican,NH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001246
Brady (PA),Democratic,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001227
Brady (TX),Republican,TX,NOT VOTING,1,457,House,109,https://clerk.house.gov/members/B000755
Brown (OH),Democratic,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000944
Brown (SC),Republican,SC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001235
"Brown, Corrine",Democratic,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000911
"Brown-Waite, Ginny",Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001247
Burgess,Republican,TX,YEA,1,457,House,109,https://clerk.house.gov/members/B001248
Burton (IN),Republican,IN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001149
Butterfield,Democratic,NC,NOT VOTING,1,457,House,109,https://clerk.house.gov/members/B001251
Buyer,Republican,IN,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001203
Calvert,Republican,CA,YEA,1,457,House,109,https://clerk.house.gov/members/C000059
Camp,Republican,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000071
Cannon,Republican,UT,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000116
Cantor,Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001046
Capito,Republican,WV,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001047
Capps,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001036
Capuano,Democratic,MA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001037
Cardin,Democratic,MD,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000141
Cardoza,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001050
Carnahan,Democratic,MO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001060
Carson,Democratic,IN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000191
Carter,Republican,TX,YEA,1,457,House,109,https://clerk.house.gov/members/C001051
Case,Democratic,HI,YEA,1,457,House,109,https://clerk.house.gov/members/C001055
Castle,Republican,DE,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000243
Chabot,Republican,OH,YEA,1,457,House,109,https://clerk.house.gov/members/C000266
Chandler,Democratic,KY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001058
Chocola,Republican,IN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001052
Clay,Democratic,MO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001049
Cleaver,Democratic,MO,YEA,1,457,House,109,https://clerk.house.gov/members/C001061
Clyburn,Democratic,SC,YEA,1,457,House,109,https://clerk.house.gov/members/C000537
Coble,Republican,NC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000556
Cole (OK),Republican,OK,YEA,1,457,House,109,https://clerk.house.gov/members/C001053
Conaway,Republican,TX,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001062
Conyers,Democratic,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000714
Cooper,Democratic,TN,YEA,1,457,House,109,https://clerk.house.gov/members/C000754
Costa,Democratic,CA,YEA,1,457,House,109,https://clerk.house.gov/members/C001059
Costello,Democratic,IL,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000794
Cramer,Democratic,AL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000868
Crenshaw,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001045
Crowley,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001038
Cubin,Republican,WY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000962
Cuellar,Democratic,TX,YEA,1,457,House,109,https://clerk.house.gov/members/C001063
Culberson,Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001048
Cummings,Democratic,MD,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000984
Cunningham,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000994
Davis (AL),Democratic,AL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000602
Davis (CA),Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000598
Davis (FL),Democratic,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000114
Davis (IL),Democratic,IL,YEA,1,457,House,109,https://clerk.house.gov/members/D000096
Davis (KY),Republican,KY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000603
Davis (TN),Democratic,TN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000599
"Davis, Jo Ann",Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000597
"Davis, Tom",Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000136
Deal (GA),Republican,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000168
DeFazio,Democratic,OR,YEA,1,457,House,109,https://clerk.house.gov/members/D000191
DeGette,Democratic,CO,YEA,1,457,House,109,https://clerk.house.gov/members/D000197
Delahunt,Democratic,MA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000210
DeLauro,Democratic,CT,YEA,1,457,House,109,https://clerk.house.gov/members/D000216
DeLay,Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000217
Dent,Republican,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000604
"Diaz-Balart, L.",Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000299
"Diaz-Balart, M.",Republican,FL,YEA,1,457,House,109,https://clerk.house.gov/members/D000600
Dicks,Democratic,WA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000327
Dingell,Democratic,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000355
Doggett,Democratic,TX,YEA,1,457,House,109,https://clerk.house.gov/members/D000399
Doolittle,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000429
Doyle,Democratic,PA,YEA,1,457,House,109,https://clerk.house.gov/members/D000482
Drake,Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000605
Dreier,Republican,CA,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000492
Duncan,Republican,TN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000533
Edwards,Democratic,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000063
Ehlers,Republican,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000092
Emanuel,Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000287
Emerson,Republican,MO,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000172
Engel,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000179
English (PA),Republican,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000187
Eshoo,Democratic,CA,YEA,1,457,House,109,https://clerk.house.gov/members/E000215
Etheridge,Democratic,NC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000226
Evans,Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000250
Everett,Republican,AL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000268
Farr,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000030
Fattah,Democratic,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000043
Feeney,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000447
Ferguson,Republican,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000443
Filner,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000116
Fitzpatrick (PA),Republican,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000451
Flake,Republican,AZ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000444
Foley,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000238
Forbes,Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000445
Ford,Democratic,TN,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000262
Fortenberry,Republican,NE,YEA,1,457,House,109,https://clerk.house.gov/members/F000449
Fossella,Republican,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000440
Foxx,Republican,NC,YEA,1,457,House,109,https://clerk.house.gov/members/F000450
Frank (MA),Democratic,MA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000339
Franks (AZ),Republican,AZ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000448
Frelinghuysen,Republican,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000372
Gallegly,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000021
Garrett (NJ),Republican,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000548
Gerlach,Republican,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000549
Gibbons,Republican,NV,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000152
Gilchrest,Republican,MD,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000180
Gillmor,Republican,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000210
Gingrey,Republican,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000550
Gohmert,Republican,TX,YEA,1,457,House,109,https://clerk.house.gov/members/G000552
Gonzalez,Democratic,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000544
Goode,Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000280
Goodlatte,Republican,VA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000289
Gordon,Democratic,TN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000309
Granger,Republican,TX,YEA,1,457,House,109,https://clerk.house.gov/members/G000377
Graves,Republican,MO,YEA,1,457,House,109,https://clerk.house.gov/members/G000546
Green (WI),Republican,WI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000545
"Green, Al",Democratic,TX,YEA,1,457,House,109,https://clerk.house.gov/members/G000553
"Green, Gene",Democratic,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000410
Grijalva,Democratic,AZ,YEA,1,457,House,109,https://clerk.house.gov/members/G000551
Gutierrez,Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000535
Gutknecht,Republican,MN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000536
Hall,Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000067
Harman,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000213
Harris,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001035
Hart,Republican,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001033
Hastings (FL),Democratic,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000324
Hastings (WA),Republican,WA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000329
Hayes,Republican,NC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001029
Hayworth,Republican,AZ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000413
Hefley,Republican,CO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000444
Hensarling,Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001036
Herger,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000528
Herseth,Democratic,SD,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001037
Higgins,Democratic,NY,YEA,1,457,House,109,https://clerk.house.gov/members/H001038
Hinchey,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000627
Hinojosa,Democratic,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000636
Hobson,Republican,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000666
Hoekstra,Republican,MI,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000676
Holden,Democratic,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000712
Holt,Democratic,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001032
Honda,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001034
Hooley,Democratic,OR,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000762
Hostettler,Republican,IN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000807
Hoyer,Democratic,MD,YEA,1,457,House,109,https://clerk.house.gov/members/H000874
Hulshof,Republican,MO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000948
Hunter,Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000981
Hyde,Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001022
Inglis (SC),Republican,SC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000023
Inslee,Democratic,WA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000026
Israel,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000057
Issa,Republican,CA,YEA,1,457,House,109,https://clerk.house.gov/members/I000056
Istook,Republican,OK,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000047
Jackson (IL),Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000283
Jackson-Lee (TX),Democratic,TX,YEA,1,457,House,109,https://clerk.house.gov/members/J000032
Jefferson,Democratic,LA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000070
Jenkins,Republican,TN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000082
Jindal,Republican,LA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000287
Johnson (CT),Republican,CT,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000163
Johnson (IL),Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000285
"Johnson, E. B.",Democratic,TX,YEA,1,457,House,109,https://clerk.house.gov/members/J000126
"Johnson, Sam",Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000174
Jones (NC),Republican,NC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000255
Jones (OH),Democratic,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000284
Kanjorski,Democratic,PA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000008
Kaptur,Democratic,OH,YEA,1,457,House,109,https://clerk.house.gov/members/K000009
Keller,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000361
Kelly,Republican,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000078
Kennedy (MN),Republican,MN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000358
Kennedy (RI),Democratic,RI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000113
Kildee,Democratic,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000172
Kilpatrick (MI),Democratic,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000180
Kind,Democratic,WI,YEA,1,457,House,109,https://clerk.house.gov/members/K000188
King (IA),Republican,IA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000362
King (NY),Republican,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000210
Kingston,Republican,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000220
Kirk,Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000360
Kline,Republican,MN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000363
Knollenberg,Republican,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000288
Kolbe,Republican,AZ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000306
Kucinich,Democratic,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000336
Kuhl (NY),Republican,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000364
LaHood,Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000552
Langevin,Democratic,RI,YEA,1,457,House,109,https://clerk.house.gov/members/L000559
Lantos,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000090
Larsen (WA),Democratic,WA,YEA,1,457,House,109,https://clerk.house.gov/members/L000560
Larson (CT),Democratic,CT,YEA,1,457,House,109,https://clerk.house.gov/members/L000557
Latham,Republican,IA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000111
LaTourette,Republican,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000553
Leach,Republican,IA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000169
Lee,Democratic,CA,YEA,1,457,House,109,https://clerk.house.gov/members/L000551
Levin,Democratic,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000263
Lewis (CA),Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000274
Lewis (GA),Democratic,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000287
Lewis (KY),Republican,KY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000293
Linder,Republican,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000321
Lipinski,Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000563
LoBiondo,Republican,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000554
"Lofgren, Zoe",Democratic,CA,YEA,1,457,House,109,https://clerk.house.gov/members/L000397
Lowey,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000480
Lucas,Republican,OK,YEA,1,457,House,109,https://clerk.house.gov/members/L000491
"Lungren, Daniel E.",Republican,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000517
Lynch,Democratic,MA,YEA,1,457,House,109,https://clerk.house.gov/members/L000562
Mack,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001155
Maloney,Democratic,NY,NOT VOTING,1,457,House,109,https://clerk.house.gov/members/M000087
Manzullo,Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001138
Marchant,Republican,TX,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001158
Markey,Democratic,MA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000133
Marshall,Democratic,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001146
Matheson,Democratic,UT,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001142
Matsui,Democratic,CA,YEA,1,457,House,109,https://clerk.house.gov/members/M001163
McCarthy,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000309
McCaul (TX),Republican,TX,YEA,1,457,House,109,https://clerk.house.gov/members/M001157
McCollum (MN),Democratic,MN,YEA,1,457,House,109,https://clerk.house.gov/members/M001143
McCotter,Republican,MI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001147
McCrery,Republican,LA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000388
McDermott,Democratic,WA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000404
McGovern,Democratic,MA,YEA,1,457,House,109,https://clerk.house.gov/members/M000312
