representative,party,state,vote,session,roll_no,chamber,congress,bio_url
Abercrombie,Democratic,HI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000014
Ackerman,Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000022
Aderholt,Republican,AL,YEA,1,457,House,109,https://clerk.house.gov/members/A000055
Akin,Republican,MO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000358
Alexander,Republican,LA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000361
Allen,Democratic,ME,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000357
Andrews,Democratic,NJ,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000210
Baca,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001234
Bachus,Republican,AL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000013
Baird,Democratic,WA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001229
Baker,Republican,LA,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000072
Baldwin,Democratic,WI,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001230
Barrett (SC),Republican,SC,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001239
Barrow,Democratic,GA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001252
Bartlett (MD),Republican,MD,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000208
Barton (TX),Republican,TX,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000213
Bass,Republican,NH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000220
Bean,Democratic,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001253
Beauprez,Republican,CO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001240
Becerra,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000287
Berkley,Democratic,NV,NOT VOTING,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001231
Berman,Democratic,CA,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000410
Berry,Democratic,AR,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000420
Biggert,Republican,IL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001232
Bilirakis,Republican,FL,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000463
Bishop (GA),Democratic,GA,YEA,1,457,House,109,https://clerk.house.gov/members/B000490
Bishop (NY),Democratic,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001242
Bishop (UT),Republican,UT,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001250
Blackburn,Republican,TN,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001243
Blumenauer,Democratic,OR,YEA,1,457,House,109,https://clerk.house.gov/members/B000574
Blunt,Republican,MO,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000575
Boehlert,Republican,NY,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000586
Boehner,Republican,OH,YEA,1,457,House,109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000589
