REPRESENTATIVE,PARTY,STATE,VOTE,session,roll_no,chamber,congress,bio_url
Blumenauer,Democratic,Oregon,AYE,1,495,House,115,https://clerk.house.gov/members/B000574
Blunt Rochester,Democratic,Delaware,AYE,1,495,House,115,https://clerk.house.gov/members/B001303
Bonamici,Democratic,Oregon,AYE,1,495,House,115,https://clerk.house.gov/members/B001278
Bost,Republican,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/B001295
"Boyle, Brendan F.",Democratic,Pennsylvania,AYE,1,495,House,115,https://clerk.house.gov/members/B001296
Brady (PA),Democratic,Pennsylvania,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001227
Brady (TX),Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/B000755
Brat,Republican,Virginia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001290
Bridenstine,Republican,Oklahoma,NOT VOTING,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001283
Brooks (AL),Republican,Alabama,NO,1,495,House,115,https://clerk.house.gov/members/B001274
Brooks (IN),Republican,Indiana,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001284
Brown (MD),Democratic,Maryland,AYE,1,495,House,115,https://clerk.house.gov/members/B001304
Brownley (CA),Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/B001285
Buchanan,Republican,Florida,NO,1,495,House,115,https://clerk.house.gov/members/B001260
Buck,Republican,Colorado,NO,1,495,House,115,https://clerk.house.gov/members/B001297
Bucshon,Republican,Indiana,NO,1,495,House,115,https://clerk.house.gov/members/B001275
Budd,Republican,North Carolina,NO,1,495,House,115,https://clerk.house.gov/members/B001305
Burgess,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/B001248
Bustos,Democratic,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/B001286
Butterfield,Democratic,North Carolina,AYE,1,495,House,115,https://clerk.house.gov/members/B001251
Byrne,Republican,Alabama,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001289
Calvert,Republican,California,NO,1,495,House,115,https://clerk.house.gov/members/C000059
Capuano,Democratic,Massachusetts,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001037
Carbajal,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/C001112
Cárdenas,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/C001097
Carson (IN),Democratic,Indiana,AYE,1,495,House,115,https://clerk.house.gov/members/C001072
Carter (GA),Republican,Georgia,NO,1,495,House,115,https://clerk.house.gov/members/C001103
Carter (TX),Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/C001051
Cartwright,Democratic,Pennsylvania,AYE,1,495,House,115,https://clerk.house.gov/members/C001090
Castor (FL),Democratic,Florida,AYE,1,495,House,115,https://clerk.house.gov/members/C001066
Castro (TX),Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/C001091
Chabot,Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/C000266
Cheney,Republican,Wyoming,NO,1,495,House,115,https://clerk.house.gov/members/C001109
"Chu, Judy",Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/C001080
Cicilline,Democratic,Rhode Island,AYE,1,495,House,115,https://clerk.house.gov/members/C001084
Clark (MA),Democratic,Massachusetts,AYE,1,495,House,115,https://clerk.house.gov/members/C001101
Clarke (NY),Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/C001067
Clay,Democratic,Missouri,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001049
Cleaver,Democratic,Missouri,AYE,1,495,House,115,https://clerk.house.gov/members/C001061
Clyburn,Democratic,South Carolina,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/C000537
Coffman,Republican,Colorado,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001077
Cohen,Democratic,Tennessee,AYE,1,495,House,115,https://clerk.house.gov/members/C001068
Cole,Republican,Oklahoma,NO,1,495,House,115,https://clerk.house.gov/members/C001053
Collins (GA),Republican,Georgia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001093
Collins (NY),Republican,New York,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001092
Comer,Republican,Kentucky,NO,1,495,House,115,https://clerk.house.gov/members/C001108
Comstock,Republican,Virginia,NOT VOTING,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001105
Conaway,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001062
Connolly,Democratic,Virginia,AYE,1,495,House,115,https://clerk.house.gov/members/C001078
Conyers,Democratic,Michigan,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000714
Cook,Republican,California,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001094
Cooper,Democratic,Tennessee,AYE,1,495,House,115,https://clerk.house.gov/members/C000754
Correa,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/C001110
Costa,Democratic,California,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/C001059
Costello (PA),Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001106
Courtney,Democratic,Connecticut,AYE,1,495,House,115,https://clerk.house.gov/members/C001069
Cramer,Republican,North Dakota,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001096
Crawford,Republican,Arkansas,NO,1,495,House,115,https://clerk.house.gov/members/C001087
Crist,Democratic,Florida,AYE,1,495,House,115,https://clerk.house.gov/members/C001111
Crowley,Democratic,New York,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001038
Cuellar,Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/C001063
Culberson,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001048
Cummings,Democratic,Maryland,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000984
Curbelo (FL),Republican,Florida,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001107
Davidson,Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/D000626
Davis (CA),Democratic,California,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000598
"Davis, Danny",Democratic,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/D000096
"Davis, Rodney",Republican,Illinois,NO,1,495,House,115,https://clerk.house.gov/members/D000619
DeFazio,Democratic,Oregon,AYE,1,495,House,115,https://clerk.house.gov/members/D000191
DeGette,Democratic,Colorado,AYE,1,495,House,115,https://clerk.house.gov/members/D000197
Delaney,Democratic,Maryland,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000620
DeLauro,Democratic,Connecticut,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/D000216
DelBene,Democratic,Washington,AYE,1,495,House,115,https://clerk.house.gov/members/D000617
Demings,Democratic,Florida,AYE,1,495,House,115,https://clerk.house.gov/members/D000627
Denham,Republican,California,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000612
Dent,Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000604
DeSantis,Republican,Florida,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000621
DeSaulnier,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/D000623
DesJarlais,Republican,Tennessee,NO,1,495,House,115,https://clerk.house.gov/members/D000616
Deutch,Democratic,Florida,AYE,1,495,House,115,https://clerk.house.gov/members/D000610
Diaz-Balart,Republican,Florida,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/D000600
Dingell,Democratic,Michigan,AYE,1,495,House,115,https://clerk.house.gov/members/D000624
Doggett,Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/D000399
Donovan,Republican,New York,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000625
"Doyle, Michael F.",Democratic,Pennsylvania,AYE,1,495,House,115,https://clerk.house.gov/members/D000482
Duffy,Republican,Wisconsin,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000614
Duncan (SC),Republican,South Carolina,NO,1,495,House,115,https://clerk.house.gov/members/D000615
Duncan (TN),Republican,Tennessee,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000533
Dunn,Republican,Florida,NO,1,495,House,115,https://clerk.house.gov/members/D000628
Ellison,Democratic,Minnesota,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000288
Emmer,Republican,Minnesota,NO,1,495,House,115,https://clerk.house.gov/members/E000294
Engel,Democratic,New York,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000179
Eshoo,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/E000215
Espaillat,Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/E000297
Estes (KS),Republican,Kansas,NO,1,495,House,115,https://clerk.house.gov/members/E000298
Esty (CT),Democratic,Connecticut,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000293
Evans,Democratic,Pennsylvania,AYE,1,495,House,115,https://clerk.house.gov/members/E000296
Farenthold,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000460
Faso,Republican,New York,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000464
Ferguson,Republican,Georgia,NO,1,495,House,115,https://clerk.house.gov/members/F000465
Fitzpatrick,Republican,Pennsylvania,AYE,1,495,House,115,https://clerk.house.gov/members/F000466
Fleischmann,Republican,Tennessee,NO,1,495,House,115,https://clerk.house.gov/members/F000459
Flores,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000461
Fortenberry,Republican,Nebraska,NO,1,495,House,115,https://clerk.house.gov/members/F000449
Foster,Democratic,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/F000454
Foxx,Republican,North Carolina,NO,1,495,House,115,https://clerk.house.gov/members/F000450
Frankel (FL),Democratic,Florida,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/F000462
Franks (AZ),Republican,Arizona,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000448
Frelinghuysen,Republican,New Jersey,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000372
Fudge,Democratic,Ohio,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000455
Gabbard,Democratic,Hawaii,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000571
Gaetz,Republican,Florida,NO,1,495,House,115,https://clerk.house.gov/members/G000578
Gallagher,Republican,Wisconsin,NO,1,495,House,115,https://clerk.house.gov/members/G000579
Gallego,Democratic,Arizona,AYE,1,495,House,115,https://clerk.house.gov/members/G000574
Garamendi,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/G000559
Garrett,Republican,Virginia,NOT VOTING,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000580
Gianforte,Republican,Montana,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000584
Gibbs,Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/G000563
Gohmert,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/G000552
Gomez,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/G000585
Gonzalez (TX),Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/G000581
Goodlatte,Republican,Virginia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000289
Gosar,Republican,Arizona,NO,1,495,House,115,https://clerk.house.gov/members/G000565
Gottheimer,Democratic,New Jersey,AYE,1,495,House,115,https://clerk.house.gov/members/G000583
Gowdy,Republican,South Carolina,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000566
Granger,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/G000377
Graves (GA),Republican,Georgia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000560
Graves (LA),Republican,Louisiana,NO,1,495,House,115,https://clerk.house.gov/members/G000577
Graves (MO),Republican,Missouri,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/G000546
"Green, Al",Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/G000553
"Green, Gene",Democratic,Texas,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000410
Griffith,Republican,Virginia,NO,1,495,House,115,https://clerk.house.gov/members/G000568
Grijalva,Democratic,Arizona,AYE,1,495,House,115,https://clerk.house.gov/members/G000551
Grothman,Republican,Wisconsin,NO,1,495,House,115,https://clerk.house.gov/members/G000576
Guthrie,Republican,Kentucky,NO,1,495,House,115,https://clerk.house.gov/members/G000558
Gutiérrez,Democratic,Illinois,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000535
Hanabusa,Democratic,Hawaii,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001050
Handel,Republican,Georgia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001078
Harper,Republican,Mississippi,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001045
Harris,Republican,Maryland,NO,1,495,House,115,https://clerk.house.gov/members/H001052
Hartzler,Republican,Missouri,NO,1,495,House,115,https://clerk.house.gov/members/H001053
Hastings,Democratic,Florida,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000324
Heck,Democratic,Washington,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001064
Hensarling,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001036
Herrera Beutler,Republican,Washington,NO,1,495,House,115,https://clerk.house.gov/members/H001056
"Hice, Jody B.",Republican,Georgia,NO,1,495,House,115,https://clerk.house.gov/members/H001071
Higgins (LA),Republican,Louisiana,NO,1,495,House,115,https://clerk.house.gov/members/H001077
Higgins (NY),Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/H001038
Hill,Republican,Arkansas,NO,1,495,House,115,https://clerk.house.gov/members/H001072
Himes,Democratic,Connecticut,AYE,1,495,House,115,https://clerk.house.gov/members/H001047
Holding,Republican,North Carolina,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001065
Hollingsworth,Republican,Indiana,NO,1,495,House,115,https://clerk.house.gov/members/H001074
Hoyer,Democratic,Maryland,AYE,1,495,House,115,https://clerk.house.gov/members/H000874
Hudson,Republican,North Carolina,NO,1,495,House,115,https://clerk.house.gov/members/H001067
Huffman,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/H001068
Huizenga,Republican,Michigan,NO,1,495,House,115,https://clerk.house.gov/members/H001058
Hultgren,Republican,Illinois,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001059
Hunter,Republican,California,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001048
Hurd,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001073
Issa,Republican,California,NO,1,495,House,115,https://clerk.house.gov/members/I000056
Jackson Lee,Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/J000032
Jayapal,Democratic,Washington,AYE,1,495,House,115,https://clerk.house.gov/members/J000298
Jeffries,Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/J000294
Jenkins (KS),Republican,Kansas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000290
Jenkins (WV),Republican,West Virginia,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000297
Johnson (GA),Democratic,Georgia,AYE,1,495,House,115,https://clerk.house.gov/members/J000288
Johnson (LA),Republican,Louisiana,NO,1,495,House,115,https://clerk.house.gov/members/J000299
Johnson (OH),Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/J000292
"Johnson, E. B.",Democratic,Texas,AYE,1,495,House,115,https://clerk.house.gov/members/J000126
"Johnson, Sam",Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000174
Jones,Republican,North Carolina,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000255
Jordan,Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/J000289
Joyce (OH),Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/J000295
Kaptur,Democratic,Ohio,AYE,1,495,House,115,https://clerk.house.gov/members/K000009
Katko,Republican,New York,NO,1,495,House,115,https://clerk.house.gov/members/K000386
Keating,Democratic,Massachusetts,AYE,1,495,House,115,https://clerk.house.gov/members/K000375
Kelly (IL),Democratic,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/K000385
Kelly (MS),Republican,Mississippi,NO,1,495,House,115,https://clerk.house.gov/members/K000388
Kelly (PA),Republican,Pennsylvania,NO,1,495,House,115,https://clerk.house.gov/members/K000376
Kennedy,Democratic,Massachusetts,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000379
Khanna,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/K000389
Kihuen,Democratic,Nevada,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000390
Kildee,Democratic,Michigan,AYE,1,495,House,115,https://clerk.house.gov/members/K000380
Kilmer,Democratic,Washington,AYE,1,495,House,115,https://clerk.house.gov/members/K000381
Kind,Democratic,Wisconsin,AYE,1,495,House,115,https://clerk.house.gov/members/K000188
King (IA),Republican,Iowa,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000362
King (NY),Republican,New York,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000210
Kinzinger,Republican,Illinois,NO,1,495,House,115,https://clerk.house.gov/members/K000378
Knight,Republican,California,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000387
Krishnamoorthi,Democratic,Illinois,AYE,1,495,House,115,https://clerk.house.gov/members/K000391
Kuster (NH),Democratic,New Hampshire,AYE,1,495,House,115,https://clerk.house.gov/members/K000382
Kustoff (TN),Republican,Tennessee,NO,1,495,House,115,https://clerk.house.gov/members/K000392
Labrador,Republican,Idaho,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000573
LaHood,Republican,Illinois,NO,1,495,House,115,https://clerk.house.gov/members/L000585
LaMalfa,Republican,California,NO,1,495,House,115,https://clerk.house.gov/members/L000578
Lamborn,Republican,Colorado,NO,1,495,House,115,https://clerk.house.gov/members/L000564
Lance,Republican,New Jersey,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000567
Langevin,Democratic,Rhode Island,AYE,1,495,House,115,https://clerk.house.gov/members/L000559
Larsen (WA),Democratic,Washington,AYE,1,495,House,115,https://clerk.house.gov/members/L000560
Larson (CT),Democratic,Connecticut,AYE,1,495,House,115,https://clerk.house.gov/members/L000557
Latta,Republican,Ohio,NO,1,495,House,115,https://clerk.house.gov/members/L000566
Lawrence,Democratic,Michigan,AYE,1,495,House,115,https://clerk.house.gov/members/L000581
Lawson (FL),Democratic,Florida,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/L000586
Lee,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/L000551
Levin,Democratic,Michigan,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000263
Lewis (GA),Democratic,Georgia,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000287
Lewis (MN),Republican,Minnesota,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000587
"Lieu, Ted",Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/L000582
Lipinski,Democratic,Illinois,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000563
LoBiondo,Republican,New Jersey,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000554
Loebsack,Democratic,Iowa,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000565
Lofgren,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/L000397
Long,Republican,Missouri,NO,1,495,House,115,https://clerk.house.gov/members/L000576
Loudermilk,Republican,Georgia,NOT VOTING,1,495,House,115,https://clerk.house.gov/members/L000583
Love,Republican,Utah,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000584
Lowenthal,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/L000579
Lowey,Democratic,New York,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000480
Lucas,Republican,Oklahoma,NO,1,495,House,115,https://clerk.house.gov/members/L000491
Luetkemeyer,Republican,Missouri,NO,1,495,House,115,https://clerk.house.gov/members/L000569
"Lujan Grisham, M.",Democratic,New Mexico,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000580
"Luján, Ben Ray",Democratic,New Mexico,AYE,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000570
Lynch,Democratic,Massachusetts,AYE,1,495,House,115,https://clerk.house.gov/members/L000562
MacArthur,Republican,New Jersey,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001193
"Maloney, Carolyn B.",Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/M000087
"Maloney, Sean",Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/M001185
Marchant,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001158
Marino,Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001179
Marshall,Republican,Kansas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001198
Massie,Republican,Kentucky,NO,1,495,House,115,https://clerk.house.gov/members/M001184
Mast,Republican,Florida,NO,1,495,House,115,https://clerk.house.gov/members/M001199
Matsui,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/M001163
McCarthy,Republican,California,NO,1,495,House,115,https://clerk.house.gov/members/M001165
McCaul,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/M001157
McClintock,Republican,California,NO,1,495,House,115,https://clerk.house.gov/members/M001177
McCollum,Democratic,Minnesota,AYE,1,495,House,115,https://clerk.house.gov/members/M001143
McEachin,Democratic,Virginia,AYE,1,495,House,115,https://clerk.house.gov/members/M001200
McGovern,Democratic,Massachusetts,AYE,1,495,House,115,https://clerk.house.gov/members/M000312
McHenry,Republican,North Carolina,NO,1,495,House,115,https://clerk.house.gov/members/M001156
McKinley,Republican,West Virginia,NO,1,495,House,115,https://clerk.house.gov/members/M001180
McMorris Rodgers,Republican,Washington,NO,1,495,House,115,https://clerk.house.gov/members/M001159
McNerney,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/M001166
McSally,Republican,Arizona,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001197
Meadows,Republican,North Carolina,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001187
Meehan,Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001181
Meeks,Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/M001137
Meng,Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/M001188
Messer,Republican,Indiana,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001189
Mitchell,Republican,Michigan,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001201
Moolenaar,Republican,Michigan,NO,1,495,House,115,https://clerk.house.gov/members/M001194
Mooney (WV),Republican,West Virginia,NO,1,495,House,115,https://clerk.house.gov/members/M001195
Moore,Democratic,Wisconsin,AYE,1,495,House,115,https://clerk.house.gov/members/M001160
Moulton,Democratic,Massachusetts,AYE,1,495,House,115,https://clerk.house.gov/members/M001196
Mullin,Republican,Oklahoma,NO,1,495,House,115,https://clerk.house.gov/members/M001190
Murphy (FL),Democratic,Florida,AYE,1,495,House,115,https://clerk.house.gov/members/M001202
Murphy (PA),Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001151
Nadler,Democratic,New York,AYE,1,495,House,115,https://clerk.house.gov/members/N000002
