REPRESENTATIVE,PARTY,STATE,VOTE,session,roll_no,chamber,congress,bio_url
Abraham,Republican,Louisiana,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000374
Adams,Democratic,North Carolina,AYE,1,495,House,115,https://clerk.house.gov/members/A000370
Aderholt,Republican,Alabama,NO,1,495,House,115,https://clerk.house.gov/members/A000055
Aguilar,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/A000371
Allen,Republican,Georgia,NO,1,495,House,115,https://clerk.house.gov/members/A000372
Amash,Republican,Michigan,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000367
Amodei,Republican,Nevada,NO,1,495,House,115,https://clerk.house.gov/members/A000369
Arrington,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/A000375
Babin,Republican,Texas,NO,1,495,House,115,https://clerk.house.gov/members/B001291
Bacon,Republican,Nebraska,NO,1,495,House,115,https://clerk.house.gov/members/B001298
Banks (IN),Republican,Indiana,NO,1,495,House,115,https://clerk.house.gov/members/B001299
Barletta,Republican,Pennsylvania,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001269
Barr,Republican,Kentucky,NO,1,495,House,115,https://clerk.house.gov/members/B001282
Barragán,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/B001300
Barton,Republican,Texas,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000213
Bass,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/B001270
Beatty,Democratic,Ohio,AYE,1,495,House,115,https://clerk.house.gov/members/B001281
Bera,Democratic,California,AYE,1,495,House,115,https://clerk.house.gov/members/B001287
Bergman,Republican,Michigan,NO,1,495,House,115,https://clerk.house.gov/members/B001301
Beyer,Democratic,Virginia,AYE,1,495,House,115,https://clerk.house.gov/members/B001292
Biggs,Republican,Arizona,NO,1,495,House,115,https://clerk.house.gov/members/B001302
Bilirakis,Republican,Florida,NO,1,495,House,115,https://clerk.house.gov/members/B001257
Bishop (GA),Democratic,Georgia,AYE,1,495,House,115,https://clerk.house.gov/members/B000490
Bishop (MI),Republican,Michigan,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001293
Bishop (UT),Republican,Utah,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001250
Black,Republican,Tennessee,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001273
Blackburn,Republican,Tennessee,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001243
Blum,Republican,Iowa,NO,1,495,House,115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001294
