congress,party,state,district,id,last_name,first_name,ngirls,nboys,nchild,female,aauw,author,nominate_dim1,nominate_dim2
114,R,FL,16,B001260,BUCHANAN,VERNON G.,0,2,2,0,22,costa,0.359,-0.129
114,R,FL,12,B001257,BILIRAKIS,GUS,0,4,4,0,22,costa,0.404,0.025
114,D,FL,9,G000556,GRAYSON,ALAN,3,2,5,0,100,costa,-0.363,-0.457
114,R,FL,8,P000599,POSEY,BILL,2,0,2,0,22,costa,0.521,-0.319
114,R,FL,17,R000583,ROONEY,THOMAS J.,0,3,3,0,22,costa,0.458,0.013
114,R,FL,11,N000185,NUGENT,RICHARD,0,3,3,0,22,costa,0.483,0.077
114,R,FL,15,R000593,ROSS,DENNIS,0,2,2,0,22,costa,0.531,0.099
114,R,FL,3,Y000065,YOHO,TED,2,1,3,0,33,costa,0.704,-0.365
114,R,FL,7,M000689,MICA,JOHN L.,1,1,2,0,22,costa,0.453,0.137
114,D,FL,20,H000324,HASTINGS,ALCEE LAMAR,3,0,3,1,88,costa,-0.564,0.157
114,D,GA,13,S001157,SCOTT,DAVID,2,0,2,0,78,costa,-0.302,0.163
114,R,GA,3,W000796,WESTMORELAND,LYNN A.,2,1,3,0,29,costa,0.672,0.189
114,D,GA,4,J000288,JOHNSON,HANK,0,2,2,0,89,costa,-0.468,0.013
114,R,GA,14,G000560,GRAVES,TOM,2,1,3,0,22,costa,0.716,-0.002
114,R,GA,8,S001189,SCOTT,AUSTIN,1,1,2,0,22,costa,0.567,0.195
114,R,GA,9,C001093,COLLINS,DOUG,1,2,3,0,22,costa,0.61,0.134
114,R,GA,1,C001103,CARTER,BUDDY,0,3,3,0,22,costa,0.584,0.262
114,R,GA,10,H001071,HICE,JODY BROWNLOW,2,0,2,0,33,costa,0.79,-0.155
114,R,GA,11,L000583,LOUDERMILK,BARRY D.,1,2,3,0,22,costa,0.691,-0.007
114,R,GA,12,A000372,ALLEN,RICK W.,3,1,4,0,22,costa,0.686,0.286
114,D,GA,2,B000490,BISHOP,"SANFORD DIXON, JR.",1,0,1,0,78,costa,-0.283,0.463
114,D,IL,5,Q000023,QUIGLEY,MIKE,2,0,2,0,89,costa,-0.321,-0.279
114,R,IL,13,D000619,DAVIS,RODNEY,1,2,3,0,22,costa,0.274,0.174
114,D,IL,17,B001286,BUSTOS,CHERI,0,3,3,1,100,costa,-0.239,0.042
114,R,IL,10,D000613,DOLD,ROBERT,1,1,2,0,44,costa,0.176,-0.207
114,R,IL,12,B001295,BOST,MIKE,2,1,3,0,33,costa,0.274,0.493
114,R,IL,18,L000585,LAHOOD,DARIN,0,3,3,0,14,costa,0.466,0.169
114,D,IL,4,G000535,GUTIERREZ,LUIS V.,2,0,2,0,86,costa,-0.487,-0.26
114,D,IL,7,D000096,DAVIS,DANNY K.,0,2,2,0,100,costa,-0.486,-0.262
114,R,IL,15,S000364,SHIMKUS,JOHN M.,0,3,3,0,22,costa,0.375,0.154
114,D,IL,9,S001145,SCHAKOWSKY,JANICE D.,2,1,3,1,100,costa,-0.606,-0.269
114,D,IN,1,V000108,VISCLOSKY,PETER,0,2,2,0,78,costa,-0.402,0.244
114,D,IN,7,C001072,CARSON,ANDR_,1,0,1,0,88,costa,-0.431,0.06
114,R,IN,3,S001188,STUTZMAN,MARLIN,0,2,2,0,43,costa,0.742,-0.119
114,R,IN,4,R000592,ROKITA,TODD,0,2,2,0,22,costa,0.602,-0.16
114,R,IN,8,B001275,BUCSHON,LARRY,2,2,4,0,22,costa,0.406,0.255
114,R,IN,9,Y000064,YOUNG,TODD,3,1,4,0,22,costa,0.472,-0.016
114,R,IN,5,B001284,BROOKS,SUSAN,1,1,2,1,22,costa,0.352,0.217
114,R,IN,6,M001189,MESSER,LUKE,2,1,3,0,22,costa,0.563,-0.086
114,R,IA,4,K000362,KING,STEVE,0,3,3,0,22,costa,0.613,0.171
114,R,KS,2,J000290,JENKINS,LYNN,1,1,2,1,22,costa,0.523,0.004
114,R,KS,1,H001057,HUELSKAMP,TIM,2,2,4,0,33,costa,0.744,-0.466
114,R,KS,4,P000602,POMPEO,MIKE,0,1,1,0,22,costa,0.66,0.164
114,R,KY,5,R000395,ROGERS,HAROLD DALLAS (HAL),1,2,3,0,22,costa,0.337,0.113
114,D,KY,3,Y000062,YARMUTH,JOHN,0,1,1,0,100,costa,-0.378,-0.27
114,R,KY,2,G000558,GUTHRIE,BRETT,2,1,3,0,22,costa,0.42,0.272
114,R,KY,6,B001282,BARR,GARLAND H. (ANDY) IV,2,0,2,0,22,costa,0.49,0.302
114,R,KY,1,W000413,WHITFIELD,WAYNE EDWARD (ED),1,0,1,0,22,costa,0.303,0.182
114,R,LA,3,B001255,BOUSTANY,CHARLES W.,1,1,2,0,22,costa,0.392,0.308
114,R,LA,1,S001176,SCALISE,STEVE,1,1,2,0,22,costa,0.56,0.156
114,R,LA,6,G000577,GRAVES,GARRET,1,2,3,0,33,costa,0.46,-0.055
114,D,MD,5,H000874,HOYER,STENY HAMILTON,3,0,3,0,78,costa,-0.38,0.117
114,D,MD,2,R000576,RUPPERSBERGER,C. A. (DUTCH),1,1,2,0,89,costa,-0.295,0.133
114,D,MD,8,V000128,VAN HOLLEN,CHRISTOPHER,1,2,3,0,100,costa,-0.392,-0.21
114,D,MD,6,D000620,DELANEY,JOHN,4,0,4,0,89,costa,-0.276,0.041
114,D,MA,3,T000465,TSONGAS,NICOLA S. (NIKI),3,0,3,1,86,costa,-0.396,-0.199
114,D,MA,9,K000375,KEATING,WILLIAM R.,1,1,2,0,88,costa,-0.329,-0.13
114,D,MA,5,C001101,CLARK,KATHERINE M.,0,3,3,1,100,costa,-0.483,-0.371
114,D,MA,7,C001037,CAPUANO,MICHAEL EVERETT,0,2,2,0,89,costa,-0.58,-0.082
114,D,MI,13,C000714,CONYERS,"JOHN, JR.",0,2,2,0,78,costa,-0.658,-0.512
114,D,MI,9,L000263,LEVIN,SANDER MARTIN,2,2,4,0,89,costa,-0.379,-0.091
114,R,MI,10,M001150,MILLER,CANDICE S.,1,0,1,1,22,costa,0.343,-0.001
114,R,MI,2,H001058,HUIZENGA,BILL,1,4,5,0,22,costa,0.577,-0.07
114,R,MI,3,A000367,AMASH,JUSTIN,2,1,3,0,33,costa,0.654,-0.757
114,D,MI,5,K000380,KILDEE,DAN,1,2,3,0,89,costa,-0.396,-0.217
114,R,MI,11,T000475,TROTT,DAVID A.,2,1,3,0,22,costa,0.369,0.257
114,D,MI,14,L000581,LAWRENCE,BRENDA L,1,1,2,1,100,costa,-0.446,-0.026
114,D,MN,4,M001143,MCCOLLUM,BETTY,1,1,2,1,89,costa,-0.417,-0.188
114,R,MN,2,K000363,KLINE,JOHN,1,1,2,0,22,costa,0.49,0.154
114,D,MN,1,W000799,WALZ,TIM,1,1,2,0,89,costa,-0.275,0.131
114,R,MN,3,P000594,PAULSEN,ERIK,4,0,4,0,22,costa,0.402,-0.191
114,R,MN,6,E000294,EMMER,THOMAS EARL II,1,6,7,0,22,costa,0.456,-0.065
114,D,MN,7,P000258,PETERSON,COLLIN CLARK,0,3,3,0,78,costa,-0.148,0.712
114,R,MS,3,H001045,HARPER,GREGG,1,1,2,0,22,costa,0.384,0.48
114,R,MS,4,P000601,PALAZZO,STEVEN,1,2,3,0,22,costa,0.527,0.529
114,R,MS,1,K000388,KELLY,TRENT,1,2,3,0,14,costa,0.633,0.231
114,D,MS,2,T000193,THOMPSON,BENNIE,1,0,1,0,78,costa,-0.516,0.399
114,D,MO,1,C001049,CLAY,"WILLIAM LACY, JR.",1,1,2,0,89,costa,-0.481,-0.078
114,R,MO,4,H001053,HARTZLER,VICKY,1,0,1,1,22,costa,0.462,0.307
114,R,MO,7,L000576,LONG,BILLY,2,0,2,0,22,costa,0.549,0.224
114,R,MO,2,W000812,WAGNER,ANN,1,2,3,1,25,costa,0.437,0.145
114,R,MT,1,Z000018,ZINKE,RYAN,1,2,3,0,22,costa,0.412,-0.097
114,D,NE,2,A000373,ASHFORD,JOHN BRADLEY,1,2,3,0,78,costa,-0.185,0.441
114,D,NH,2,K000382,KUSTER,ANN MCLANE,0,2,2,1,100,costa,-0.256,-0.123
114,R,NJ,5,G000548,GARRETT,SCOTT,2,0,2,0,22,costa,0.688,-0.243
114,D,NJ,8,S001165,SIRES,ALBIO,1,0,1,0,89,costa,-0.405,0.095
114,D,NJ,1,N000188,NORCROSS,DONALD,0,3,3,0,100,costa,-0.425,0.324
114,D,NJ,12,W000822,WATSON COLEMAN,BONNIE,0,3,3,1,89,costa,-0.628,-0.138
114,R,NJ,11,F000372,FRELINGHUYSEN,RODNEY P.,2,0,2,0,22,costa,0.292,-0.262
114,D,NJ,9,P000096,PASCRELL,"WILLIAM J., JR.",0,3,3,0,100,costa,-0.367,-0.005
114,D,NJ,10,P000604,PAYNE,"DONALD, JR.",1,2,3,0,88,costa,-0.517,-0.099
114,D,NM,1,L000580,LUJAN GRISHAM,MICHELLE,2,0,2,1,100,costa,-0.313,0.047
114,D,NY,13,R000053,RANGEL,CHARLES B.,1,1,2,0,100,costa,-0.514,-0.341
114,D,NY,25,S000480,SLAUGHTER,LOUISE MCINTOSH,3,0,3,1,100,costa,-0.465,-0.104
114,D,NY,17,L000480,LOWEY,NITA M.,2,1,3,1,89,costa,-0.389,-0.152
114,D,NY,26,H001038,HIGGINS,BRIAN,1,1,2,0,89,costa,-0.347,-0.033
114,R,NY,19,G000564,GIBSON,CHRISTOPHER,2,1,3,0,33,costa,0.203,-0.455
114,D,NY,18,M001185,MALONEY,SEAN PATRICK,1,2,3,0,89,costa,-0.239,0.122
114,R,NY,27,C001092,COLLINS,CHRIS,1,1,2,0,29,costa,0.357,0.236
114,R,NY,1,Z000017,ZELDIN,LEE M,2,0,2,0,22,costa,0.389,-0.128
114,R,NY,24,K000386,KATKO,JOHN,0,3,3,0,25,costa,0.198,-0.004
114,D,NY,15,S000248,SERRANO,JOS_,2,3,5,0,100,costa,-0.491,-0.377
114,R,NY,2,K000210,KING,PETER T.,1,1,2,0,22,costa,0.259,-0.03
114,D,NY,12,M000087,MALONEY,CAROLYN BOSHER,2,0,2,1,89,costa,-0.387,-0.28
114,D,NY,5,M001137,MEEKS,GREGORY W.,3,0,3,0,89,costa,-0.413,-0.074
114,D,NC,4,P000523,PRICE,DAVID EUGENE,1,1,2,0,89,costa,-0.343,-0.031
114,R,NC,5,F000450,FOXX,VIRGINIA ANN,1,0,1,1,22,costa,0.629,0.13
114,R,NC,10,M001156,MCHENRY,PATRICK T.,1,0,1,0,22,costa,0.549,0.087
114,R,NC,2,E000291,ELLMERS,RENEE,0,1,1,1,22,costa,0.406,0.338
114,R,NC,12,A000370,ADAMS,ALMA,1,1,2,1,100,costa,-0.466,0.014
114,R,NC,3,J000255,JONES,"WALTER BEAMAN, JR.",1,0,1,0,44,costa,0.244,-0.362
114,R,ND,1,C001096,CRAMER,KEVIN,2,3,5,0,22,costa,0.39,0.296
114,R,OH,10,T000463,TURNER,MICHAEL R.,2,0,2,0,22,costa,0.273,0.212
114,R,OH,4,J000289,JORDAN,JIM,2,2,4,0,33,costa,0.719,-0.214
114,R,OH,5,L000566,LATTA,ROBERT E.,2,0,2,0,22,costa,0.517,0.264
114,R,OH,6,J000292,JOHNSON,BILL,2,2,4,0,22,costa,0.428,0.27
114,R,OH,15,S001187,STIVERS,STEVE,1,1,2,0,22,costa,0.3,0.269
114,R,OH,7,G000563,GIBBS,BOB,1,2,3,0,22,costa,0.474,0.316
114,R,OH,2,W000815,WENSTRUP,BRAD,0,1,1,0,33,costa,0.548,0.188
114,D,OH,3,B001281,BEATTY,JOYCE,1,1,2,1,100,costa,-0.432,0.059
114,R,OH,14,J000295,JOYCE,DAVID,1,2,3,0,33,costa,0.262,0.269
114,R,OH,1,C000266,CHABOT,STEVE,1,1,2,0,22,costa,0.567,-0.197
114,R,OK,1,B001283,BRIDENSTINE,JIM,1,2,3,0,22,costa,0.689,-0.157
114,R,OK,3,L000491,LUCAS,FRANK D.,2,1,3,0,22,costa,0.363,0.42
114,D,OR,5,S001180,SCHRADER,KURT,2,2,4,0,89,costa,-0.186,0.058
114,D,OR,1,B001278,BONAMICI,SUZANNE,1,1,2,1,100,costa,-0.394,-0.403
114,D,OR,3,B000574,BLUMENAUER,EARL,1,1,2,0,100,costa,-0.428,-0.67
114,R,OR,2,W000791,WALDEN,GREG,0,1,1,0,22,costa,0.333,-0.011
114,R,PA,18,M001151,MURPHY,TIMOTHY,1,0,1,0,22,costa,0.258,0.198
114,R,PA,8,F000451,FITZPATRICK,MICHAEL G.,3,3,6,0,22,costa,0.202,-0.186
114,R,PA,15,D000604,DENT,CHARLES W.,1,2,3,0,33,costa,0.244,-0.085
114,R,PA,5,T000467,THOMPSON,GLENN,0,3,3,0,22,costa,0.315,0.394
114,R,PA,7,M001181,MEEHAN,PATRICK,0,3,3,0,33,costa,0.22,0.076
114,R,PA,10,M001179,MARINO,THOMAS A.,1,1,2,0,22,costa,0.352,0.477
114,R,PA,11,B001269,BARLETTA,LOU,4,0,4,0,22,costa,0.278,0.393
114,R,PA,4,P000605,PERRY,SCOTT,2,0,2,0,22,costa,0.629,-0.349
114,D,PA,17,C001090,CARTWRIGHT,MATT,0,2,2,0,100,costa,-0.366,-0.04
114,R,PA,6,C001106,COSTELLO,RYAN,0,1,1,0,33,costa,0.217,-0.055
114,D,PA,13,B001296,BOYLE,BRENDAN FRANCIS,1,0,1,0,100,costa,-0.399,0.127
114,D,PA,14,D000482,DOYLE,MICHAEL F.,1,3,4,0,100,costa,-0.331,0.111
114,R,PA,16,P000373,PITTS,JOSEPH R.,2,1,3,0,22,costa,0.538,0.012
114,D,PA,1,B001227,BRADY,ROBERT A.,1,1,2,0,100,costa,-0.484,0.225
114,R,SC,2,W000795,WILSON,ADDISON GRAVES (JOE),0,4,4,0,22,costa,0.537,0.113
114,R,SC,3,D000615,DUNCAN,JEFF,0,3,3,0,22,costa,0.734,-0.172
114,R,SC,1,S000051,SANFORD,MARK,0,4,4,0,33,costa,0.686,-0.728
114,D,SC,6,C000537,CLYBURN,JAMES ENOS,3,0,3,0,78,costa,-0.464,0.254
114,R,TN,2,D000533,DUNCAN,"JOHN J., JR.",2,2,4,0,22,costa,0.604,-0.476
114,R,TN,7,B001243,BLACKBURN,MARSHA,1,1,2,1,22,costa,0.622,0.137
114,R,TN,1,R000582,ROE,DAVID P. (PHIL),1,2,3,0,22,costa,0.486,0.024
114,R,TN,4,D000616,DESJARLAIS,SCOTT,1,2,3,0,33,costa,0.583,-0.082
114,R,TN,8,F000458,FINCHER,STEPHEN LEE,1,2,3,0,33,costa,0.526,0.181
114,R,TX,6,B000213,BARTON,JOE LINUS,2,1,3,0,22,costa,0.528,0.047
114,R,TX,21,S000583,SMITH,LAMAR SEELIGSON,0,2,2,0,25,costa,0.425,0.061
114,R,TX,7,C001048,CULBERSON,JOHN,1,0,1,0,25,costa,0.503,0.366
114,R,TX,5,H001036,HENSARLING,JEB,1,1,2,0,22,costa,0.703,0.04
114,R,TX,31,C001051,CARTER,JOHN R.,2,2,4,0,22,costa,0.473,0.599
114,R,TX,1,G000552,GOHMERT,LOUIE,3,0,3,0,33,costa,0.63,-0.345
114,R,TX,11,C001062,CONAWAY,K. MICHAEL,3,1,4,0,22,costa,0.593,0.367
114,D,TX,28,C001063,CUELLAR,HENRY,2,0,2,0,78,costa,-0.228,0.622
114,R,TX,22,O000168,OLSON,PETE,1,1,2,0,22,costa,0.548,0.308
114,R,TX,17,F000461,FLORES,BILL,0,2,2,0,22,costa,0.572,0.293
114,R,TX,14,W000814,WEBER,RANDY,1,2,3,0,22,costa,0.714,0.027
114,R,TX,25,W000816,WILLIAMS,ROGER,2,0,2,0,22,costa,0.585,0.112
114,D,TX,33,V000131,VEASEY,MARC,0,1,1,0,100,costa,-0.402,0.285
114,R,TX,4,R000601,RATCLIFFE,JOHN,2,0,2,0,22,costa,0.693,0.113
114,D,TX,35,D000399,DOGGETT,"LLOYD ALTON, II",2,0,2,0,78,costa,-0.402,-0.313
114,R,TX,13,T000238,THORNBERRY,WILLIAM MCCLELLAN (MAC),1,1,2,0,22,costa,0.525,0.313
114,D,TX,18,J000032,JACKSON LEE,SHEILA,1,1,2,1,100,costa,-0.46,0.127
114,R,TX,32,S000250,SESSIONS,PETE,0,5,5,0,22,costa,0.586,0.17
114,R,TX,12,G000377,GRANGER,KAY,1,2,3,1,22,costa,0.398,0.238
114,D,TX,15,H000636,HINOJOSA,RUB_N,4,1,5,0,100,costa,-0.34,0.235
114,D,TX,29,G000410,GREEN,RAYMOND EUGENE (GENE),1,1,2,0,89,costa,-0.324,0.453
114,D,TX,30,J000126,JOHNSON,EDDIE BERNICE,0,1,1,1,89,costa,-0.485,0.203
114,R,UT,1,B001250,BISHOP,ROBERT (ROB),1,4,5,0,22,costa,0.537,0.105
114,R,UT,3,C001076,CHAFFETZ,JASON,2,1,3,0,13,costa,0.647,-0.278
114,R,UT,2,S001192,STEWART,CHRIS,2,4,6,0,22,costa,0.525,0.155
114,R,UT,4,L000584,LOVE,LUDMYA BOURDEAU (MIA),2,1,3,1,22,costa,0.542,-0.056
114,D,VT,1,W000800,WELCH,PETER,2,3,5,0,89,costa,-0.41,-0.351
114,R,VA,4,F000445,FORBES,J. RANDY,1,3,4,0,22,costa,0.407,0.218
114,R,VA,1,W000804,WITTMAN,ROBERT J.,1,1,2,0,22,costa,0.446,-0.016
114,D,VA,11,C001078,CONNOLLY,GERALD E. (GERRY),1,0,1,0,89,costa,-0.306,-0.013
114,R,VA,2,R000589,RIGELL,E. SCOTT,3,1,4,0,22,costa,0.405,-0.084
114,R,VA,9,G000568,GRIFFITH,H. MORGAN,1,2,3,0,33,costa,0.548,-0.43
114,R,VA,7,B001290,BRAT,DAVID A.,1,1,2,0,22,costa,0.829,-0.325
114,D,VA,8,B001292,BEYER,DONALD STERNOFF JR.,3,1,4,0,100,costa,-0.386,-0.041
114,R,VA,10,C001105,COMSTOCK,BARBARA J.,1,2,3,1,22,costa,0.276,0.389
114,R,VA,6,G000289,GOODLATTE,ROBERT WILLIAM,1,1,2,0,22,costa,0.496,-0.002
114,D,WA,7,M000404,MCDERMOTT,JAMES A.,1,1,2,0,89,costa,-0.666,-0.197
114,D,WA,2,L000560,LARSEN,RICHARD RAY (RICK),0,2,2,0,89,costa,-0.365,0.19
114,R,WA,8,R000578,REICHERT,DAVID G.,2,1,3,0,33,costa,0.224,-0.146
114,D,WA,6,K000381,KILMER,DEREK,2,0,2,0,89,costa,-0.31,-0.011
114,R,WA,4,N000189,NEWHOUSE,DANIEL MILTON,2,0,2,0,25,costa,0.346,0.225
114,D,WA,1,D000617,DELBENE,SUZAN K.,1,1,2,1,89,costa,-0.282,-0.228
114,R,WV,1,M001180,MCKINLEY,DAVID,2,2,4,0,22,costa,0.3,0.184
114,R,WV,3,J000297,JENKINS,EVAN H.,1,2,3,0,22,costa,0.315,0.308
114,R,WI,5,S000244,SENSENBRENNER,"FRANK JAMES, JR.",0,2,2,0,33,costa,0.638,-0.579
114,D,WI,3,K000188,KIND,RON,0,2,2,0,89,costa,-0.261,-0.081
114,R,WI,1,R000570,RYAN,PAUL D.,1,2,3,0,29,costa,0.556,-0.25
114,R,WY,1,L000571,LUMMIS,CYNTHIA M.,1,0,1,1,22,costa,0.677,-0.404
113,R,AL,1,B001289,BYRNE,NA,2,2,4,0,67,costa,0.61,0.25
113,R,AL,2,R000591,ROBY,NA,1,1,2,1,22,costa,0.362,0.658
113,R,AL,3,R000575,ROGERS,NA,1,2,3,0,22,costa,0.358,0.461
113,R,AL,4,A000055,ADERHOLT,NA,1,1,2,0,13,costa,0.372,0.589
113,R,AL,5,B001274,BROOKS,NA,2,2,4,0,13,costa,0.651,-0.44
113,R,AL,6,B000013,BACHUS,NA,2,2,5,0,44,costa,0.387,0.228
113,R,AK,1,Y000033,YOUNG,NA,2,0,2,0,50,costa,0.284,0.021
113,D,AZ,2,B001279,BARBER,NA,2,0,2,0,89,costa,-0.123,0.001
113,D,AZ,3,G000551,GRIJALVA,NA,3,0,3,0,100,costa,-0.598,-0.255
113,R,AZ,4,G000565,GOSAR,NA,2,0,3,0,22,costa,0.68,-0.422
113,R,AZ,5,S000018,SALMON,NA,2,2,4,0,22,costa,0.673,-0.272
113,R,AZ,6,S001183,SCHWEIKERT,NA,1,0,1,0,22,costa,0.583,-0.313
113,D,AZ,7,P000099,PASTOR,NA,2,0,2,0,89,costa,-0.421,0.12
113,R,AZ,8,F000448,FRANKS,NA,1,1,2,0,11,costa,0.749,0.087
113,R,AR,1,C001087,CRAWFORD,NA,1,1,2,0,38,costa,0.421,0.495
113,R,AR,2,G000567,GRIFFIN,NA,1,1,2,0,25,costa,0.41,0.421
113,R,AR,3,W000809,WOMACK,NA,0,3,3,0,33,costa,0.355,0.579
113,R,AR,4,C001095,COTTON,NA,0,1,1,0,33,costa,0.595,0.078
113,R,CA,1,L000578,LAMALFA,NA,3,1,4,0,22,costa,0.534,0.087
113,D,CA,2,H001068,HUFFMAN,NA,1,1,2,0,100,costa,-0.427,-0.543
113,D,CA,3,G000559,GARAMENDI,NA,4,2,6,0,100,costa,-0.309,-0.091
113,R,CA,4,M001177,MCCLINTOCK,NA,1,1,2,0,11,costa,0.717,-0.474
113,D,CA,5,T000460,THOMPSON,NA,0,2,2,0,100,costa,-0.395,0.066
113,D,CA,6,M001163,MATSUI,NA,0,1,1,1,100,costa,-0.434,-0.161
113,D,CA,7,B001287,BERA,NA,1,0,1,0,89,costa,-0.233,0.016
113,D,CA,9,M001166,MCNERNEY,NA,1,2,3,0,89,costa,-0.262,-0.152
113,R,CA,10,D000612,DENHAM,NA,1,1,2,0,33,costa,0.306,0.212
113,D,CA,11,M000725,MILLER,NA,0,2,2,0,88,costa,-0.552,-0.398
113,D,CA,12,P000197,PELOSI,NA,3,1,4,1,86,costa,-0.49,-0.206
113,D,CA,13,L000551,LEE,NA,0,2,2,1,100,costa,-0.682,-0.587
113,D,CA,14,S001175,SPEIER,NA,1,1,2,1,100,costa,-0.38,-0.44
113,D,CA,17,H001034,HONDA,NA,1,1,2,0,100,costa,-0.529,-0.482
113,D,CA,18,E000215,ESHOO,NA,1,1,2,1,100,costa,-0.381,-0.425
113,D,CA,19,L000397,LOFGREN,NA,1,1,2,1,100,costa,-0.402,-0.444
113,D,CA,20,F000030,FARR,NA,1,0,1,0,100,costa,-0.455,-0.219
113,R,CA,21,V000129,VALADAO,NA,1,2,3,0,44,costa,0.253,0.415
113,R,CA,22,N000181,NUNES,NA,3,0,3,0,44,costa,0.449,0.217
113,R,CA,23,M001165,MCCARTHY,NA,1,1,2,0,44,costa,0.458,0.217
113,D,CA,24,C001036,CAPPS,NA,2,1,2,1,100,costa,-0.389,-0.227
113,R,CA,25,M000508,MCKEON,NA,3,3,6,0,44,costa,0.396,0.208
113,D,CA,26,B001285,BROWNLEY,NA,1,1,2,1,100,costa,-0.286,0.052
