congress,party,state,district,id,last_name,first_name,ngirls,nboys,nchild,female,aauw,author,nominate_dim1,nominate_dim2
114,R,AL,3,R000575,ROGERS,MIKE DENNIS,1,2,3,0,22,costa,0.358,0.461
114,R,AL,2,R000591,ROBY,MARTHA,1,1,2,1,22,costa,0.362,0.658
114,R,AL,1,B001289,BYRNE,BRADLEY,2,2,4,0,22,costa,0.61,0.25
114,R,AL,6,P000609,PALMER,GARY JAMES,2,1,3,0,22,costa,0.704,-0.018
114,R,AL,4,A000055,ADERHOLT,ROBERT,1,1,2,0,22,costa,0.372,0.589
114,R,AK,1,Y000033,YOUNG,DONALD EDWIN,2,0,2,0,22,costa,0.284,0.021
114,R,AZ,8,F000448,FRANKS,TRENT,1,1,2,0,22,costa,0.749,0.087
114,D,AZ,3,G000551,GRIJALVA,RAUL M.,3,0,3,0,100,costa,-0.598,-0.255
114,R,AZ,4,G000565,GOSAR,PAUL,2,1,3,0,22,costa,0.68,-0.422
114,R,AR,1,C001087,CRAWFORD,RICK,1,1,2,0,29,costa,0.421,0.495
114,R,AR,3,W000809,WOMACK,STEVE,0,3,3,0,22,costa,0.355,0.579
114,D,CA,12,P000197,PELOSI,NANCY,4,1,5,1,89,costa,-0.49,-0.206
114,D,CA,17,H001034,HONDA,MIKE,1,1,2,0,100,costa,-0.529,-0.482
114,D,CA,28,S001150,SCHIFF,ADAM,1,1,2,0,89,costa,-0.349,-0.129
114,R,CA,49,I000056,ISSA,DARRELL,0,1,1,0,29,costa,0.504,-0.08
114,D,CA,53,D000598,DAVIS,SUSAN A.,0,2,2,1,100,costa,-0.343,-0.103
114,D,CA,6,M001163,MATSUI,DORIS,0,1,1,0,100,costa,-0.434,-0.161
114,D,CA,9,M001166,MCNERNEY,JERRY,1,2,3,0,89,costa,-0.262,-0.152
114,R,CA,23,M001165,MCCARTHY,KEVIN,1,1,2,0,22,costa,0.458,0.217
114,D,CA,14,S001175,SPEIER,KAREN LORRAINE JACQUELINE (JACKIE),1,1,2,1,100,costa,-0.38,-0.44
114,R,CA,50,H001048,HUNTER,DUNCAN DUANE,2,1,3,0,22,costa,0.539,0.085
114,D,CA,37,B001270,BASS,KAREN,3,2,5,1,89,costa,-0.586,-0.106
114,D,CA,44,H001063,HAHN,JANICE,1,2,3,1,89,costa,-0.39,-0.376
114,D,CA,7,B001287,BERA,AMI,1,0,1,0,78,costa,-0.233,0.016
114,R,CA,21,V000129,VALADAO,DAVID G.,1,2,3,0,22,costa,0.253,0.415
114,D,CA,26,B001285,BROWNLEY,JULIA,1,1,2,1,100,costa,-0.286,0.052
114,D,CA,29,C001097,CARDENAS,ANTONIO,2,2,4,0,78,costa,-0.383,0.02
114,D,CA,51,V000130,VARGAS,JUAN,2,0,2,0,100,costa,-0.401,0.097
114,D,CA,11,D000623,DESAULNIER,MARK JAMES,0,2,2,0,100,costa,-0.53,-0.371
114,D,CA,31,A000371,AGUILAR,PETER REY,0,2,2,0,89,costa,-0.292,0.136
114,D,CA,33,L000582,LIEU,TED,0,2,2,0,100,costa,-0.372,-0.262
114,R,CA,45,W000820,WALTERS,MIMI,2,2,4,1,22,costa,0.433,0.177
114,D,CA,43,W000187,WATERS,MAXINE,1,1,2,1,78,costa,-0.653,-0.071
114,D,CA,20,F000030,FARR,SAM,1,0,1,0,89,costa,-0.455,-0.219
114,D,CA,34,B000287,BECERRA,XAVIER,3,0,3,0,89,costa,-0.512,-0.283
114,D,CA,40,R000486,ROYBAL-ALLARD,LUCILLE,1,1,2,1,100,costa,-0.47,-0.185
114,D,CA,19,L000397,LOFGREN,ZOE,1,1,2,1,100,costa,-0.402,-0.444
114,D,CA,24,C001036,CAPPS,LOIS,2,1,3,1,100,costa,-0.389,-0.227
114,D,CA,5,T000460,THOMPSON,MICHAEL,0,2,2,0,88,costa,-0.395,0.066
114,D,CA,32,N000179,NAPOLITANO,NA,2,3,5,1,100,costa,-0.448,-0.247
114,R,CO,3,T000470,TIPTON,SCOTT,2,0,2,0,22,costa,0.451,-0.023
114,D,CT,2,C001069,COURTNEY,JOE,1,1,2,0,89,costa,-0.344,0.017
114,D,CT,4,H001047,HIMES,JAMES A.,2,0,2,0,89,costa,-0.243,-0.236
114,D,CT,3,D000216,DELAURO,ROSA L.,2,1,3,1,100,costa,-0.416,-0.117
114,D,CT,1,L000557,LARSON,JOHN B.,2,1,3,0,89,costa,-0.397,-0.051
114,D,DE,1,C001083,CARNEY,"JOHN C., JR.",0,2,2,0,89,costa,-0.256,-0.142
114,R,FL,1,M001144,MILLER,JEFF,0,2,2,0,33,costa,0.633,0.155
114,R,FL,4,C001045,CRENSHAW,ANDER,1,1,2,0,22,costa,0.333,0.337
114,D,FL,23,W000797,WASSERMAN SCHULTZ,DEBBIE,2,1,3,1,100,costa,-0.421,0.069
