congress,party,state,district,id,last_name,first_name,aauw,aauw_support_all,aauw_support_voting,author,diff
114,D,AZ,3,G000551,GRIJALVA,RAUL M.,100,89,100,costa,11
114,R,AR,1,C001087,CRAWFORD,RICK,29,22,29,costa,7
114,D,CA,12,P000197,PELOSI,NANCY,89,78,88,costa,10
114,R,CA,49,I000056,ISSA,DARRELL,29,22,29,costa,7
114,D,CA,14,S001175,SPEIER,KAREN LORRAINE JACQUELINE (JACKIE),100,89,100,costa,11
114,D,CA,37,B001270,BASS,KAREN,89,78,88,costa,10
114,D,CA,20,F000030,FARR,SAM,89,78,88,costa,10
114,D,CA,34,B000287,BECERRA,XAVIER,89,78,88,costa,10
114,D,CA,19,L000397,LOFGREN,ZOE,100,89,100,costa,11
114,D,CA,24,C001036,CAPPS,LOIS,100,89,100,costa,11
114,D,CA,5,T000460,THOMPSON,MICHAEL,88,78,88,costa,10
114,D,CT,3,D000216,DELAURO,ROSA L.,100,89,100,costa,11
114,D,FL,9,G000556,GRAYSON,ALAN,100,89,100,costa,11
114,D,FL,20,H000324,HASTINGS,ALCEE LAMAR,88,78,88,costa,10
114,R,GA,3,W000796,WESTMORELAND,LYNN A.,29,22,29,costa,7
114,D,IL,17,B001286,BUSTOS,CHERI,100,89,100,costa,11
114,D,IL,4,G000535,GUTIERREZ,LUIS V.,86,78,100,costa,22
114,D,IL,7,D000096,DAVIS,DANNY K.,100,89,100,costa,11
114,D,IL,9,S001145,SCHAKOWSKY,JANICE D.,100,89,100,costa,11
114,D,IN,7,C001072,CARSON,ANDR_,88,78,88,costa,10
114,R,IN,3,S001188,STUTZMAN,MARLIN,43,33,43,costa,10
114,D,MA,3,T000465,TSONGAS,NICOLA S. (NIKI),86,67,86,costa,19
114,D,MA,9,K000375,KEATING,WILLIAM R.,88,78,88,costa,10
114,D,NJ,10,P000604,PAYNE,"DONALD, JR.",88,67,86,costa,19
114,D,NY,13,R000053,RANGEL,CHARLES B.,100,89,100,costa,11
114,R,NY,27,C001092,COLLINS,CHRIS,29,22,29,costa,7
114,D,NY,5,M001137,MEEKS,GREGORY W.,89,78,88,costa,10
114,D,NC,4,P000523,PRICE,DAVID EUGENE,89,89,100,costa,11
114,D,OR,3,B000574,BLUMENAUER,EARL,100,89,100,costa,11
114,D,PA,1,B001227,BRADY,ROBERT A.,100,89,100,costa,11
114,R,TN,8,F000458,FINCHER,STEPHEN LEE,33,11,20,costa,9
114,D,TX,18,J000032,JACKSON LEE,SHEILA,100,89,100,costa,11
114,D,TX,30,J000126,JOHNSON,EDDIE BERNICE,89,78,88,costa,10
114,D,VT,1,W000800,WELCH,PETER,89,78,88,costa,10
114,D,VA,8,B001292,BEYER,DONALD STERNOFF JR.,100,89,100,costa,11
114,D,WA,1,D000617,DELBENE,SUZAN K.,89,78,88,costa,10
113,R,AK,1,Y000033,YOUNG,NA,50,44,50,costa,6
113,D,CA,11,M000725,MILLER,NA,88,78,88,costa,10
113,D,CA,12,P000197,PELOSI,NA,86,67,86,costa,19
113,D,CA,14,S001175,SPEIER,NA,100,89,100,costa,11
113,R,CA,31,M001139,MILLER,NA,29,22,29,costa,7
113,D,CO,7,P000593,PERLMUTTER,NA,88,78,88,costa,10
113,D,CT,4,H001047,HIMES,NA,100,89,100,costa,11
113,D,DE,1,C001083,CARNEY,NA,88,78,88,costa,10
113,R,FL,10,W000806,WEBSTER,NA,50,44,50,costa,6
113,R,FL,13,Y000031,YOUNG,NA,25,14,20,costa,6
113,D,FL,14,C001066,CASTOR,NA,88,78,88,costa,10
113,D,FL,20,H000324,HASTINGS,NA,100,89,100,costa,11
113,D,FL,23,W000797,WASSERMAN SCHULTZ,NA,100,89,100,costa,11
113,D,IL,4,G000535,GUTIERREZ,NA,100,89,100,costa,11
113,D,IA,1,B001259,BRALEY,BURCE,88,78,88,costa,10
113,D,MA,5,C001101,CLARK,KATHERINE,50,33,50,costa,17
113,D,MA,8,L000562,LYNCH,STEPHEN,88,78,88,costa,10
113,D,NY,4,M000309,MCCARTHY,CAROLYN,83,56,83,costa,27
113,D,NY,13,R000053,RANGEL,CHARLES,100,89,100,costa,11
113,D,OR,3,B000574,BLUMENAUER,EARL,100,89,100,costa,11
113,D,PA,13,S001162,SCHWARTZ,ALLYSON,100,89,100,costa,11
113,D,TX,15,H000636,HINOJOSA,RUB_N,100,78,100,costa,22
113,D,TX,30,J000126,JOHNSON,EDDIE,88,78,88,costa,10
112,D,CA,13,S000810,STARK,"FORTNEY ""PETE""",100,90,100,costa,10
112,D,CA,38,N000179,NAPOLITANO,GRACE,100,90,100,costa,10
112,D,CA,51,F000116,FILNER,BOB,100,80,100,costa,20
112,D,GA,5,L000287,LEWIS,JOHN,89,80,89,costa,9
112,D,IL,4,G000535,GUTIERREZ,LUIS,78,70,78,costa,8
112,D,IA,1,B001259,BRALEY,BRUCE,100,90,100,costa,10
112,D,MA,8,C001037,CAPUANO,MICHAEL,89,80,89,costa,9
112,D,MA,10,K000375,KEATING,WILLIAM,78,90,100,costa,10
112,D,MI,9,P000595,PETERS,GARY,100,90,100,costa,10
