congress,chamber,state,district,party,id,last_name,first_name,middle_name,nick_name,icpsr,born,died,nominate_dim1,nominate_dim2,female,ngirls,nboys,nchildren,high_confidence,aauw_voting,aauw_all,aauw_women_voting,aauw_women_all,anygirls
97,House,TX,9,D,B000880,Brooks,Jack,Bascom,NA,1077,1922,2012,-0.407,0.725,0,2,1,3,0,86,67,50,50,1
97,House,MI,19,R,B000890,Broomfield,William,S.,NA,1087,1922,NA,0.227,-0.309,0,2,0,2,1,50,44,0,0,1
97,House,CA,36,D,B000918,Brown,George,Edward,NA,10573,1920,1999,-0.506,-0.028,0,1,1,2,1,100,89,100,100,0
97,House,CO,4,R,B000919,Brown,George,Hanks,Hank,14803,1940,NA,0.511,-0.762,0,2,1,3,0,44,44,50,50,1
97,House,OH,7,R,B000910,Brown,Clarence,J.,NA,10786,1927,NA,0.3,-0.284,0,2,2,4,0,33,22,0,0,1
97,House,NC,10,R,B000966,Broyhill,James,Thomas,NA,10574,1927,NA,0.269,0.021,0,1,2,3,0,44,44,50,50,0
97,House,CA,43,R,B001080,Burgener,Clair,Walter,NA,14007,1921,2006,0.281,0.019,0,0,2,2,1,56,56,50,50,0
97,House,CA,6,D,B001156,Burton,Phillip,NA,NA,10577,1926,1983,-0.634,-0.304,0,1,0,1,0,100,100,100,100,0
97,House,VA,6,R,B001182,Butler,Manley,Caldwell,NA,13055,1925,2014,0.332,-0.06,0,0,4,4,1,44,44,50,50,0
97,House,MD,6,D,B001220,Byron,Beverly,Barton Butcher,NA,14608,1932,NA,-0.024,0.516,1,1,2,3,0,44,44,0,0,0
97,House,SC,4,R,C000079,Campbell,Carroll,Ashmore,NA,14609,1940,2005,0.306,0.115,0,0,2,2,1,50,44,0,0,0
97,House,NY,3,R,C000158,Carman,Gregory,Wright,NA,14804,1937,NA,0.337,-0.18,0,3,2,5,1,44,44,0,0,1
97,House,NY,1,R,C000165,Carney,William,NA,NA,14610,1942,NA,0.326,-0.173,0,1,0,1,1,33,33,0,0,0
97,House,FL,4,D,C000321,Chappell,William,Venroe,NA,12007,1922,1989,-0.098,0.916,0,2,2,4,1,44,44,0,0,1
97,House,CA,1,R,C000322,Chappie,Eugene,A.,NA,14805,1920,1992,0.414,-0.235,0,3,2,5,1,25,22,0,0,1
97,House,WY,1,R,C000344,Cheney,Richard,Bruce,NA,14611,1941,NA,0.523,-0.068,0,2,0,2,0,33,33,0,0,1
97,House,CA,2,R,C000475,Clausen,Donald,Holst,NA,10579,1923,2015,0.16,0.036,0,2,0,2,1,44,44,0,0,1
97,House,MO,1,D,C000488,Clay,William,Lacy,NA,12009,1931,NA,-0.49,-0.872,0,2,1,3,0,100,89,100,100,1
97,House,PA,23,R,C000523,Clinger,William,Floyd,NA,14612,1929,NA,0.176,-0.221,0,2,2,4,1,67,67,50,50,1
97,House,MO,6,R,C000618,Coleman,Earl,Thomas,NA,14410,1943,NA,0.262,-0.265,0,2,1,3,0,33,33,0,0,1
97,House,TX,3,R,C000638,Collins,James,Mitchell,NA,11066,1916,1989,0.679,0.122,0,1,0,1,1,11,11,0,0,0
97,House,IL,7,D,C000634,Collins,Cardiss,NA,NA,14068,1931,2013,-0.552,-0.218,1,0,1,1,1,100,100,100,100,0
97,House,NY,35,R,C000666,Conable,Barber,Benjamin,NA,10712,1922,2003,0.371,-0.658,0,3,1,4,1,25,22,0,0,1
97,House,MA,1,R,C000709,Conte,Silvio,Ottavio,NA,2009,1921,1991,-0.023,-0.683,0,2,2,4,1,67,67,0,0,1
97,House,MI,1,D,C000714,Conyers,John,NA,NA,10713,1929,NA,-0.658,-0.512,0,0,2,2,1,89,89,100,100,0
97,House,PA,13,R,C000807,Coughlin,Robert,Lawrence,NA,12010,1929,2001,0.204,-0.844,0,4,1,5,1,67,67,50,50,1
97,House,PA,8,R,C000845,Coyne,James,Kitchenman,NA,14807,1946,NA,0.223,-0.449,0,1,2,3,0,67,67,50,50,0
97,House,IL,22,R,C000871,Crane,Daniel,Bever,NA,14615,1936,NA,0.744,0.048,0,3,3,6,0,0,0,0,0,1
97,House,IL,12,R,C000873,Crane,Philip,Miller,NA,12041,1930,2014,0.739,0.023,0,5,1,6,1,0,0,0,0,1
97,House,MI,13,D,C000919,Crockett,George,William,NA,14681,1909,1997,-0.651,-0.414,0,1,2,3,1,100,78,100,50,0
97,House,NH,1,D,D000017,D'Amours,Norman,Edward,NA,14284,1937,NA,-0.17,-0.19,0,2,1,3,0,62,56,0,0,1
97,House,VA,5,D,D000038,Daniel,Wilbur,Clarence,Dan,12011,1914,1988,0.161,0.775,0,0,1,1,1,22,22,0,0,0
97,House,VA,4,R,D000037,Daniel,Robert,Williams,NA,14013,1936,2012,0.318,0.346,0,2,0,2,1,11,11,0,0,1
97,House,CA,39,R,D000044,Dannemeyer,William,Edwin,NA,14616,1929,NA,0.691,-0.24,0,2,1,3,1,0,0,0,0,1
97,House,SD,1,D,D000064,Daschle,Thomas,Andrew,NA,14617,1947,NA,-0.303,0.114,0,2,1,3,0,89,89,100,100,1
97,House,NE,2,R,D000065,Daub,Harold,John,Hal,14810,1941,NA,0.391,-0.322,0,1,2,3,0,33,33,0,0,0
97,House,MI,11,R,D000131,Davis,Robert,William,NA,14618,1932,2009,0.098,-0.146,0,3,2,5,1,33,33,0,0,1
97,House,TX,15,D,D000203,De La Garza,Eligio,NA,Kika,10716,1927,NA,-0.255,0.757,0,1,2,3,1,78,78,50,50,0
97,House,IN,8,R,D000183,Deckard,Huey,Joel,NA,14619,1942,2016,0.222,-0.493,0,1,0,1,1,29,22,0,0,0
97,House,CA,8,D,D000222,Dellums,Ronald,V.,NA,13011,1935,NA,-0.644,-0.646,0,2,2,4,1,89,89,100,100,1
97,House,CT,3,R,D000231,Denardis,Lawrence,Joseph,NA,14811,1938,NA,0.001,-0.672,0,1,2,3,1,67,67,0,0,0
97,House,SC,3,D,D000267,Derrick,Butler,Carson,NA,14212,1936,2014,-0.215,0.258,0,2,2,4,1,78,78,50,50,1
97,House,IL,4,R,D000269,Derwinski,Edward,Joseph,NA,2525,1926,2012,0.342,-0.361,0,1,1,2,1,38,33,0,0,0
97,House,AL,2,R,D000326,Dickinson,William,Louis,NA,10717,1925,2008,0.398,-0.057,0,1,3,4,1,50,44,50,50,0
97,House,WA,6,D,D000327,Dicks,Norman,DeValois,NA,14413,1940,NA,-0.312,0.11,0,0,2,2,0,89,89,100,100,0
97,House,MI,16,D,D000355,Dingell,John,David,NA,2605,1926,NA,-0.448,0.313,0,2,2,4,1,100,89,100,100,1
97,House,CA,28,D,D000373,Dixon,Julian,Carey,NA,14620,1934,2000,-0.458,-0.076,0,0,1,1,1,100,100,100,100,0
97,House,ND,1,D,D000432,Dorgan,Byron,Leslie,NA,14812,1942,NA,-0.267,0.09,0,1,2,3,0,78,78,0,0,0
97,House,CA,27,R,D000435,Dornan,Robert,Kenneth,NA,14414,1933,NA,0.49,-0.111,0,1,1,2,0,29,22,0,0,0
97,House,MS,4,D,D000466,Dowdy,Charles,Wayne,NA,14874,1943,NA,-0.259,0.724,0,1,2,3,0,80,80,NA,NA,0
97,House,TN,2,R,D000534,Duncan,John,James,NA,10719,1919,1988,0.194,0.21,0,1,2,3,1,38,33,0,0,0
97,House,NJ,15,D,D000586,Dwyer,Bernard,James,NA,14815,1921,1998,-0.373,0.048,0,1,0,1,1,89,89,50,50,0
97,House,CA,31,D,D000592,Dymally,Mervyn,Malcolm,NA,14816,1926,2012,-0.685,-0.039,0,0,1,1,1,100,67,100,50,0
97,House,MA,3,D,E000013,Early,Joseph,Daniel,NA,14216,1933,2012,-0.254,-0.409,0,4,4,8,1,88,78,50,50,1
97,House,OH,22,D,E000031,Eckart,Dennis,Edward,NA,14818,1950,NA,-0.242,-0.258,0,0,1,1,0,100,100,100,100,0
97,House,PA,7,D,E000043,Edgar,Robert,William,NA,14217,1943,2013,-0.334,-0.718,0,0,2,2,1,100,89,100,50,0
97,House,CA,10,D,E000064,Edwards,William,Donlon,Don,10583,1915,2015,-0.599,-0.419,0,0,4,4,1,100,100,100,100,0
97,House,OK,5,R,E000077,Edwards,Marvin,Henry,Mickey,14415,1937,NA,0.394,-0.05,0,2,1,3,0,33,33,0,0,1
97,House,AL,1,R,E000084,Edwards,William,Jackson,Jack,10721,1928,NA,0.177,0.161,0,1,1,2,1,56,56,50,50,0
97,House,MO,10,R,E000174,Emerson,Norvell,William,Bill,14819,1938,1996,0.332,-0.125,0,4,0,4,1,33,33,0,0,1
97,House,OK,6,D,E000184,English,Glenn,Lee,NA,14219,1940,NA,-0.027,0.603,0,0,2,2,0,67,67,0,0,0
97,House,MN,1,R,E000198,Erdahl,Arlen,Ingolf,NA,14623,1931,NA,0.21,-0.663,0,2,4,6,0,67,67,50,50,1
97,House,IL,14,R,E000204,Erlenborn,John,Neal,NA,10722,1927,2005,0.315,-0.438,0,1,2,3,1,38,33,0,0,0
97,House,PA,17,D,E000208,Ertel,Allen,Edward,NA,14416,1937,2015,-0.171,0.017,0,1,1,2,1,86,67,50,50,0
97,House,DE,1,R,E000258,Evans,Thomas,Beverley,NA,14417,1931,NA,0.178,-0.384,0,1,1,2,0,78,78,50,50,0
97,House,IA,3,R,E000259,Evans,Thomas,Cooper,NA,14820,1924,2005,0.247,-0.969,0,0,1,1,1,44,44,0,0,0
97,House,GA,8,D,E000233,Evans,Billy,Lee,NA,14418,1941,NA,-0.091,0.501,0,1,1,2,0,38,33,0,0,0
97,House,IL,5,D,F000040,Fary,John,G.,NA,14285,1911,1984,-0.451,0.47,0,1,0,1,1,78,78,50,50,0
