state,district,id,icpsr,last_name,first_name,middle_name,ngirls,nboys,nchildren,,washington_ngirls,washington_nboys,washington_nchild,costa_ngirls,costa_nboys,costa_nchild,oliver1_ngirls,oliver1_nboys,oliver1_nchild,oliver2_ngirls,oliver2_nboys,oliver2_nchild,oliver2_data_source,cong_served
FL,2,F000430,10587,Fuqua,Don,NA,0,0,0,,,,,,,,,,,,,,,"97, 98, 99"
FL,7,G000153,10588,Gibbons,Sam,Melville,0,3,3,,,,,,,,0,3,3,,,,,"97, 98, 99, 100, 101, 102"
FL,11,G000153,10588,Gibbons,Sam,Melville,0,3,3,,,,,,,,0,3,3,,,,,"103, 104"
CA,29,H000367,10595,Hawkins,Augustus,Freeman,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99, 100, 101"
NY,34,H000797,10596,Horton,Frank,Jefferson,0,4,4,,,,,,,,0,4,4,,,,,97
NY,29,H000797,10596,Horton,Frank,Jefferson,0,4,4,,,,,,,,0,4,4,,,,,"98, 99, 100, 101, 102"
MD,2,L000413,10601,Long,Clarence,Dickinson,1,1,2,,,,,,,,1,1,2,,,,,"97, 98"
LA,8,L000417,10602,Long,Gillis,William,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99"
IL,13,M000340,10606,McClory,Robert,NA,1,2,3,,,,,,,,1,2,3,,,,,97
PA,10,M000399,10607,McDade,Joseph,Michael,2,3,5,,2,3,5,,,,2,3,5,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105"
NJ,11,M000796,10609,Minish,Joseph,George,0,0,0,,,,,,,,0,0,0,,,,,"97, 98"
TX,10,P000328,10614,Pickle,James,Jarrell,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100, 101, 102, 103"
TN,1,Q000013,10616,Quillen,James,Henry,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
CA,25,R000485,10621,Roybal,Edward,R.,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99, 100, 101, 102"
KY,4,S000669,10626,Snyder,Marion,Gene,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99"
IL,11,A000212,10703,Annunzio,Frank,NA,3,0,3,,,,,,,,3,0,3,,,,,"97, 98, 99, 100, 101, 102"
NY,22,B000472,10705,Bingham,Jonathan,Brewster,3,1,4,,,,,,,,,,,,,,,97
NY,35,C000666,10712,Conable,Barber,Benjamin,3,1,4,,,,,,,,3,1,4,,,,,97
NY,30,C000666,10712,Conable,Barber,Benjamin,3,1,4,,,,,,,,3,1,4,,,,,98
MI,1,C000714,10713,Conyers,John,NA,0,2,2,,,,,0,2,2,0,2,2,,,,,"97, 98, 99, 100, 101, 102"
MI,14,C000714,10713,Conyers,John,NA,0,2,2,,0,2,2,0,2,2,0,2,2,,,,,"103, 104, 105, 106, 107, 108, 109, 110, 111, 112"
MI,13,C000714,10713,Conyers,John,NA,0,2,2,,0,2,2,0,2,2,0,2,2,,,,,"113, 114, 115"
TX,15,D000203,10716,De La Garza,Eligio,NA,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
AL,2,D000326,10717,Dickinson,William,Louis,1,3,4,,,,,,,,1,3,4,,,,,"97, 98, 99, 100, 101, 102"
TN,2,D000534,10719,Duncan,John,James,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99, 100"
AL,1,E000084,10721,Edwards,William,Jackson,1,1,2,,,,,,,,1,1,2,,,,,"97, 98"
IL,14,E000204,10722,Erlenborn,John,Neal,1,2,3,,,,,,,,1,2,3,,,,,97
IL,13,E000204,10722,Erlenborn,John,Neal,1,2,3,,,,,,,,1,2,3,,,,,98
WA,5,F000239,10726,Foley,Thomas,Stephen,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103"
MI,15,F000270,10727,Ford,William,David,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99, 100, 101, 102"
MI,13,F000270,10727,Ford,William,David,1,2,3,,,,,,,,1,2,3,,,,,103
IN,9,H000114,10732,Hamilton,Lee,Herbert,2,1,3,,2,1,3,,,,,,,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105"
ID,2,H000171,10734,Hansen,George,Vernon,2,3,5,,,,,,,,2,3,5,,,,,"97, 98"
NJ,3,H000840,10739,Howard,James,John,3,0,3,,,,,,,,3,0,3,,,,,"97, 98, 99, 100"
IN,11,J000033,10742,Jacobs,Andrew,NA,0,2,2,,,,,,,,0,2,2,,,,,97
IN,10,J000033,10742,Jacobs,Andrew,NA,0,2,2,,,,,,,,0,2,2,,,,,"98, 99, 100, 101, 102, 103, 104"
HI,2,M000797,10757,Mink,Patsy,Takemoto,1,0,1,,1,0,1,,,,1,0,1,,,,,"102, 103, 104, 105, 106, 107"
NY,24,O000134,10760,Ottinger,Richard,Lawrence,1,3,4,,,,,,,,,,,1,3,4,97-104 living,97
NY,20,O000134,10760,Ottinger,Richard,Lawrence,1,3,4,,,,,,,,,,,1,3,4,97-104 living,98
NY,11,S000124,10768,Scheuer,James,Haas,2,2,4,,,,,,,,2,2,4,,,,,97
NY,8,S000124,10768,Scheuer,James,Haas,2,2,4,,,,,,,,2,2,4,,,,,"98, 99, 100, 101, 102"
OH,11,S000804,10773,Stanton,John,William,1,0,1,,,,,,,,1,0,1,,,,,97
TX,16,W000390,10783,White,Richard,Crawford,3,4,7,,,,,,,,3,4,7,,,,,97
OH,7,B000910,10786,Brown,Clarence,J.,2,2,4,,,,,,,,,,,2,2,4,97-104 living,97
NC,1,J000256,10788,Jones,Walter,Beaman,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100, 101, 102"
MI,9,V000027,10794,Vander Jagt,Guy,Adrian,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100, 101, 102"
AL,4,B000431,11000,Bevill,Tom,NA,0,1,1,,,,,,,,,,,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
GA,3,B000839,11005,Brinkley,Jack,Thomas,0,2,2,,,,,,,,0,2,2,,,,,97
AR,3,H000124,11020,Hammerschmidt,John,Paul,0,1,1,,,,,,,,0,1,1,,,,,"97, 98, 99, 100, 101, 102"
MA,10,H000440,11021,Heckler,Margaret,M.,2,1,3,,,,,,,,2,1,3,,,,,97
TX,23,K000025,11023,Kazen,Abraham,NA,4,1,5,,,,,,,,4,1,5,,,,,"97, 98"
OH,8,L000509,11028,Lukens,Donald,Edgar,0,0,0,,,,,,,,0,0,0,,,,,"100, 101"
OH,10,M000718,11034,Miller,Clarence,E.,2,0,2,,,,,,,,2,0,2,,,,,"97, 98, 99, 100, 101, 102"
MS,3,M000865,11035,Montgomery,Gillespie,V.,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
IN,7,M001130,11036,Myers,John,Thomas,2,0,2,,,,,,,,2,0,2,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
AL,3,N000095,11037,Nichols,William,Flynt,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99, 100"
IL,19,R000012,11041,Railsback,Thomas,Fisher,4,0,4,,,,,,,,4,0,4,,,,,97
KS,3,W000636,11057,Winn,Edward,Lawrence,2,3,5,,,,,,,,2,3,5,,,,,"97, 98"
OH,15,W000781,11058,Wylie,Chalmers,Pangburn,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99, 100, 101, 102"
CA,12,M000343,11063,McCloskey,Paul,Norton,2,2,4,,,,,,,,,,,2,2,4,97-104 living,97
TX,3,C000638,11066,Collins,James,Mitchell,1,0,1,,,,,,,,1,0,1,,,,,97
PA,20,G000105,11067,Gaydos,Joseph,Matthew,0,1,1,,,,,,,,0,1,1,,,,,"97, 98, 99, 100, 101, 102"
AR,1,A000103,12000,Alexander,William,Vollie,1,1,2,,,,,,,,,,,1,1,2,97-104 living,"97, 98, 99, 100, 101, 102"
CA,32,A000189,12001,Anderson,Glenn,Malcolm,0,2,2,,,,,,,,0,2,2,,,,,"97, 98, 99, 100, 101, 102"
NY,10,B000432,12003,Biaggi,Mario,NA,2,2,4,,,,,,,,2,2,4,,,,,97
NY,19,B000432,12003,Biaggi,Mario,NA,2,2,4,,,,,,,,2,2,4,,,,,"98, 99, 100"
FL,4,C000321,12007,Chappell,William,Venroe,2,2,4,,,,,,,,2,2,4,,,,,"97, 98, 99, 100"
NY,12,C000371,12008,Chisholm,Shirley,Anita,0,0,0,,,,,,,,0,0,0,,,,,97
MO,1,C000488,12009,Clay,William,Lacy,2,1,3,,,,,,,,,,,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106"
PA,13,C000807,12010,Coughlin,Robert,Lawrence,4,1,5,,,,,,,,4,1,5,,,,,"97, 98, 99, 100, 101, 102"
VA,5,D000038,12011,Daniel,Wilbur,Clarence,0,1,1,,,,,,,,0,1,1,,,,,"97, 98, 99, 100"
NY,25,F000141,12013,Fish,Hamilton,NA,1,2,3,,,,,,,,1,2,3,,,,,97
NY,21,F000141,12013,Fish,Hamilton,NA,1,2,3,,,,,,,,1,2,3,,,,,"98, 99, 100, 101, 102"
NY,19,F000141,12013,Fish,Hamilton,NA,1,2,3,,,,,,,,1,2,3,,,,,103
NM,1,L000506,12022,Lujan,Manuel,NA,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99, 100"
OH,21,S000948,12030,Stokes,Louis,NA,3,1,4,,3,1,4,,,,3,1,4,,,,,"97, 98, 99, 100, 101, 102"
OH,11,S000948,12030,Stokes,Louis,NA,3,1,4,,3,1,4,,,,3,1,4,,,,,"103, 104, 105"
VA,2,W000406,12033,Whitehurst,George,William,1,1,2,,,,,,,,,,,1,1,2,97-104 living,"97, 98, 99"
PA,6,Y000014,12035,Yatron,Gus,NA,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99, 100, 101, 102"
WI,7,O000007,12036,Obey,David,Ross,0,2,2,,0,2,2,0,2,2,,,,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111"
CA,20,G000268,12037,Goldwater,Barry,Morris,2,0,2,,,,,,,,,,,2,0,2,97-104 living,97
TN,7,J000216,12038,Jones,Ed,NA,1,0,1,,,,,,,,1,0,1,,,,,97
TN,8,J000216,12038,Jones,Ed,NA,1,0,1,,,,,,,,1,0,1,,,,,"98, 99, 100"
IL,12,C000873,12041,Crane,Philip,Miller,5,1,6,,7,1,8,,,,5,1,6,,,,,"97, 98, 99, 100, 101, 102"
IL,8,C000873,12041,Crane,Philip,Miller,5,1,6,,7,1,8,,,,5,1,6,,,,,"103, 104, 105, 106, 107, 108"
NJ,8,R000383,12042,Roe,Robert,A.,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102"
NJ,6,F000286,12046,Forsythe,Edwin,Bell,1,0,1,,,,,,,,1,0,1,,,,,97
NJ,13,F000286,12046,Forsythe,Edwin,Bell,1,0,1,,,,,,,,1,0,1,,,,,98
TX,7,A000215,13002,Archer,William,Reynolds,3,2,5,,3,4,7,,,,,,,3,2,5,105-116 random sample,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106"
WI,1,A000224,13003,Aspin,Leslie,NA,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103"
CT,1,C000799,13009,Cotter,William,Ross,0,0,0,,,,,,,,0,0,0,,,,,97
CA,8,D000222,13011,Dellums,Ronald,V.,2,2,4,,,,,,,,2,2,4,3,2,5,105-116 random sample,"97, 98, 99, 100, 101, 102"
CA,9,D000222,13011,Dellums,Ronald,V.,2,2,4,,2,1,3,,,,2,2,4,3,2,5,105-116 random sample,"103, 104, 105"
MN,3,F000380,13015,Frenzel,William,Eldridge,3,0,3,,,,,,,,3,0,3,,,,,"97, 98, 99, 100, 101"
IN,5,H000624,13018,Hillis,Elwood,Haynes,0,3,3,,,,,,,,,,,0,3,3,97-104 living,"97, 98, 99"
NY,38,K000086,13020,Kemp,Jack,French,1,3,4,,,,,,,,1,3,4,,,,,97
NY,31,K000086,13020,Kemp,Jack,French,1,3,4,,,,,,,,1,3,4,,,,,"98, 99, 100"
NY,4,L000243,13021,Lent,Norman,Frederick,1,3,4,,,,,,,,1,3,4,,,,,"97, 98, 99, 100, 101, 102"
KY,3,M000291,13024,Mazzoli,Romano,Louis,1,1,2,,,,,,,,,,,1,1,2,97-104 living,"97, 98, 99, 100, 101, 102, 103"
CT,4,M000527,13029,McKinney,Stewart,Brett,3,2,5,,,,,,,,3,2,5,,,,,"97, 98, 99, 100"
MD,7,M000826,13031,Mitchell,Parren,James,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99"
NY,23,P000280,13033,Peyser,Peter,A.,2,3,5,,,,,,,,2,3,5,,,,,97
NY,19,R000053,13035,Rangel,Charles,B.,1,1,2,,1,1,2,1,1,2,,,,,,,,97
NY,16,R000053,13035,Rangel,Charles,B.,1,1,2,,1,1,2,1,1,2,,,,,,,,"98, 99, 100, 101, 102"
NY,15,R000053,13035,Rangel,Charles,B.,1,1,2,,1,1,2,1,1,2,,,,,,,,"103, 104, 105, 106, 107, 108, 109, 110, 111, 112"
NY,13,R000053,13035,Rangel,Charles,B.,1,1,2,,1,1,2,1,1,2,,,,,,,,"113, 114"
VA,7,R000337,13036,Robinson,James,Kenneth,3,3,6,,,,,,,,3,3,6,,,,,"97, 98"
OH,14,S000230,13040,Seiberling,John,Frederick,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99"
SC,2,S000718,13042,Spence,Floyd,Davidson,0,4,4,,0,4,4,,,,0,4,4,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107"
FL,6,Y000031,13047,Young,Charles,William,0,3,3,,0,3,3,0,3,3,0,3,3,,,,,97
FL,8,Y000031,13047,Young,Charles,William,0,3,3,,0,3,3,0,3,3,0,3,3,,,,,"98, 99, 100, 101, 102"
FL,10,Y000031,13047,Young,Charles,William,0,3,3,,0,3,3,0,3,3,0,3,3,,,,,"103, 104, 105, 106, 107, 108, 109, 110, 111, 112"
FL,13,Y000031,13047,Young,Charles,William,0,3,3,,0,3,3,0,3,3,0,3,3,,,,,113
VA,6,B001182,13055,Butler,Manley,Caldwell,0,4,4,,,,,,,,0,4,4,,,,,97
LA,7,B000780,13056,Breaux,John,Berlinger,2,2,4,,,,,,,,,,,2,2,4,97-104 living,"97, 98, 99"
NC,4,A000207,14001,Andrews,Ike,Franklin,2,0,2,,,,,,,,2,0,2,,,,,"97, 98"
FL,10,B000029,14003,Bafalis,Louis,Arthur,1,2,3,,,,,,,,,,,1,2,3,97-104 living,97
TN,6,B000280,14004,Beard,Robin,Leo,1,2,3,,,,,,,,1,2,3,,,,,97
CA,43,B001080,14007,Burgener,Clair,Walter,0,2,2,,,,,,,,0,2,2,,,,,97
VA,4,D000037,14013,Daniel,Robert,Williams,2,0,2,,,,,,,,2,0,2,,,,,97
NY,26,G000212,14015,Gilman,Benjamin,Arthur,2,3,5,,1,2,3,,,,3,2,5,,,,,97
NY,22,G000212,14015,Gilman,Benjamin,Arthur,2,3,5,,1,2,3,,,,3,3,6,,,,,"98, 99, 100, 101, 102"
NY,20,G000212,14015,Gilman,Benjamin,Arthur,2,3,5,,1,2,3,,,,3,3,6,,,,,"103, 104, 105, 106, 107"
GA,1,G000226,14016,Ginn,Ronald,Bryan,2,0,2,,,,,,,,2,0,2,,,,,97
OH,4,G000537,14018,Guyer,Tennyson,NA,2,0,2,,,,,,,,2,0,2,,,,,97
MD,4,H000747,14021,Holt,Marjorie,Sewell,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99"
OK,1,J000232,14026,Jones,James,Robert,0,2,2,,,,,,,,,,,0,2,2,97-104 living,"97, 98, 99"
FL,13,L000226,14029,Lehman,William,NA,1,2,3,,,,,,,,1,2,3,,,,,97
FL,17,L000226,14029,Lehman,William,NA,1,2,3,,,,,,,,1,2,3,,,,,"98, 99, 100, 101, 102"
MS,5,L000447,14031,Lott,Chester,Trent,0,2,2,,,,,,,,,,,0,2,2,97-104 living,"97, 98, 99, 100"
IL,21,M000041,14033,Madigan,Edward,Rell,3,0,3,,,,,,,,3,0,3,,,,,97
IL,15,M000041,14033,Madigan,Edward,Rell,3,0,3,,,,,,,,3,0,3,,,,,"98, 99, 100, 101, 102"
NC,9,M000183,14035,Martin,James,Grubbs,0,4,4,,,,,,,,,,,,,,,"97, 98"
NY,31,M000808,14038,Mitchell,Donald,Jerome,2,1,3,,,,,,,,2,1,3,,,,,97
MA,9,M000834,14039,Moakley,John,Joseph,0,0,0,,0,0,0,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107"
CA,22,M000926,14040,Moorhead,Carlos,John,2,0,2,,,,,,,,,,,,,,,"97, 98, 99, 100, 101, 102"
CA,27,M000926,14040,Moorhead,Carlos,John,2,0,2,,,,,,,,,,,,,,,"103, 104"
IL,17,O000010,14041,O'Brien,George,Miller,1,1,2,,,,,,,,1,1,2,,,,,97
IL,4,O000010,14041,O'Brien,George,Miller,1,1,2,,,,,,,,1,1,2,,,,,"98, 99"
UT,2,O000156,14042,Owens,Douglas,Wayne,3,2,5,,,,,,,,3,2,5,,,,,"100, 101, 102"
VA,8,P000080,14043,Parris,Stanford,E.,2,1,3,,,,,,,,2,1,3,,,,,"97, 98, 99, 100, 101"
WA,1,P000546,14044,Pritchard,Joel,McFee,3,1,4,,,,,,,,3,1,4,,,,,"97, 98"
OH,16,R000141,14045,Regula,Ralph,Straus,1,2,3,,1,2,3,1,2,3,1,2,3,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110"
NJ,12,R000262,14046,Rinaldo,Matthew,John,0,0,0,,,,,,,,0,0,0,,,,,97
NJ,7,R000262,14046,Rinaldo,Matthew,John,0,0,0,,,,,,,,0,0,0,,,,,"98, 99, 100, 101, 102"
NC,7,R000436,14048,Rose,Charles,Grandison,2,2,4,,,,,,,,2,2,4,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
CO,1,S000142,14051,Schroeder,Patricia,Scott,1,1,2,,,,,,,,,,,1,1,2,97-104 living,"97, 98, 99, 100, 101, 102, 103, 104"
PA,9,S000394,14052,Shuster,E.,G.,3,2,5,,,,,,,,,,,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107"
CA,9,S000810,14053,Stark,Fortney,Hillman,4,3,7,,4,3,7,4,3,7,3,2,5,4,3,7,diff child info,"97, 98, 99, 100, 101, 102"
CA,13,S000810,14053,Stark,Fortney,Hillman,4,3,7,,4,3,7,4,3,7,3,2,5,4,3,7,diff child info,"103, 104, 105, 106, 107, 108, 109, 110, 111, 112"
MA,12,S001040,14055,Studds,Gerry,Eastman,0,0,0,,,,,,,,0,0,0,,,,,97
MA,10,S001040,14055,Studds,Gerry,Eastman,0,0,0,,,,,,,,0,0,0,,,,,"98, 99, 100, 101, 102, 103, 104"
MO,7,T000075,14057,Taylor,Gene,NA,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99, 100"
AR,2,T000243,14058,Thornton,Raymond,Hoyt,3,0,3,,,,,,,,3,0,3,,,,,"102, 103, 104"
TX,2,W000570,14062,Wilson,Charles,NA,0,0,0,,,,,,,,0,0,0,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
AK,1,Y000033,14066,Young,Donald,Edwin,2,0,2,,2,0,2,2,0,2,,,,0,0,0,117 (current reps),"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116"
LA,2,B000592,14067,Boggs,Corinne,Claiborne,2,1,3,,,,,,,,,,,,,,,"97, 98, 99, 100, 101"
IL,7,C000634,14068,Collins,Cardiss,NA,0,1,1,,,,,,,,0,1,1,,,,,"97, 98, 99, 100, 101, 102, 103, 104"
OH,2,L000508,14070,Luken,Thomas,Andrew,5,3,8,,,,,,,,5,3,8,,,,,97
OH,1,L000508,14070,Luken,Thomas,Andrew,5,3,8,,,,,,,,5,3,8,,,,,"98, 99, 100, 101"
CA,19,L000020,14071,Lagomarsino,Robert,John,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100, 101, 102"
PA,12,M001120,14072,Murtha,John,Patrick,1,2,3,,1,2,3,1,2,3,1,2,3,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111"
MI,8,T000356,14075,Traxler,Jerome,Bob,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100, 101, 102"
CA,5,B001153,14076,Burton,John,Lowell,0,0,0,,,,,,,,,,,0,0,0,97-104 living,97
OR,1,A000337,14201,Aucoin,Les,NA,2,0,2,,,,,,,,,,,2,0,2,97-104 living,"97, 98, 99, 100, 101, 102"
IA,6,B000298,14205,Bedell,Berkley,Warren,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99"
