state,district,id,icpsr,last_name,first_name,middle_name,ngirls,nboys,nchildren,,washington_ngirls,washington_nboys,washington_nchild,costa_ngirls,costa_nboys,costa_nchild,oliver1_ngirls,oliver1_nboys,oliver1_nchild,oliver2_ngirls,oliver2_nboys,oliver2_nchild,oliver2_data_source,cong_served
FL,3,B000371,633,Bennett,Charles,Edward,1,2,3,,,,,,,,1,2,3,,,,,"97, 98, 99, 100, 101, 102"
MA,2,B000600,830,Boland,Edward,Patrick,2,2,4,,,,,,,,,,,,,,,"97, 98, 99, 100"
MO,5,B000605,835,Bolling,Richard,Walker,1,0,1,2 stepchildren,,,,,,,,,,,,,,97
TX,9,B000880,1077,Brooks,Jack,Bascom,2,1,3,,,,,,,,,,,,,,,"97, 98, 99, 100, 101, 102, 103"
MI,19,B000890,1087,Broomfield,William,S.,2,0,2,,,,,,,,2,0,2,,,,,97
MI,18,B000890,1087,Broomfield,William,S.,2,0,2,,,,,,,,2,0,2,,,,,"98, 99, 100, 101, 102"
MA,1,C000709,2009,Conte,Silvio,Ottavio,2,2,4,,,,,,,,2,2,4,,,,,"97, 98, 99, 100, 101, 102"
IL,4,D000269,2525,Derwinski,Edward,Joseph,1,1,2,,,,,,,,1,1,2,,,,,97
MI,16,D000355,2605,Dingell,John,David,2,2,4,,,,,,,,2,2,4,2,2,4,diff child info,"97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107"
MI,15,D000355,2605,Dingell,John,David,2,2,4,,2,2,4,,,,2,2,4,2,2,4,diff child info,"108, 109, 110, 111, 112"
MI,12,D000355,2605,Dingell,John,David,2,2,4,,2,2,4,,,,2,2,4,2,2,4,diff child info,113
FL,15,F000041,3078,Fascell,Dante,Bruno,2,1,3,,,,,,,,2,1,3,,,,,97
FL,19,F000041,3078,Fascell,Dante,Bruno,2,1,3,,,,,,,,2,1,3,,,,,"98, 99, 100, 101, 102"
NC,2,F000319,3321,Fountain,Lawrence,H.,1,0,1,,,,,,,,1,0,1,,,,,97
WI,2,K000020,5101,Kastenmeier,Robert,William,0,3,3,,,,,,,,0,3,3,,,,,"97, 98, 99, 100, 101"
OH,5,L000116,5495,Latta,Delbert,Leroy,1,0,1,,,,,,,,1,0,1,,,,,"97, 98, 99, 100"
IL,18,M000692,6455,Michel,Robert,Henry,2,2,4,,,,,,,,2,2,4,,,,,"97, 98, 99, 100, 101, 102, 103"
WV,1,M000845,6584,Mollohan,Robert,Homer,1,2,3,,,,,,,,1,2,3,,,,,97
KY,2,N000009,6845,Natcher,William,Huston,2,0,2,,,,,,,,2,0,2,,,,,"97, 98, 99, 100, 101, 102, 103"
MA,8,O000098,7081,O'Neill,Thomas,Philip,1,3,4,,,,,,,,1,3,4,,,,,"97, 98, 99"
FL,14,P000218,7333,Pepper,Claude,Denson,0,0,0,,,,,,,,0,0,0,,,,,97
FL,18,P000218,7333,Pepper,Claude,Denson,0,0,0,,,,,,,,0,0,0,,,,,"98, 99, 100, 101"
KY,7,P000230,7343,Perkins,Carl,Dewey,0,1,1,,,,,,,,0,1,1,,,,,"97, 98"
IL,23,P000522,7610,Price,Charles,Melvin,0,1,1,,,,,,,,0,1,1,,,,,97
IL,21,P000522,7610,Price,Charles,Melvin,0,1,1,,,,,,,,0,1,1,,,,,"98, 99, 100"
WI,5,R000165,7824,Reuss,Henry,Schoellkopf,1,2,3,,,,,,,,1,2,3,,,,,97
AZ,1,R000188,7845,Rhodes,John,Jacob,2,2,4,,,,,,,,2,2,4,,,,,97
NJ,10,R000374,8010,Rodino,Peter,Wallace,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99, 100"
IL,8,R000458,8080,Rostenkowski,Daniel,David,3,0,3,,,,,,,,3,0,3,,,,,"97, 98, 99, 100, 101, 102"
IL,5,R000458,8080,Rostenkowski,Daniel,David,3,0,3,,,,,,,,3,0,3,,,,,103
IA,4,S000596,8672,Smith,Neal,Edward,1,1,2,,,,,,,,,,,1,1,2,97-104 living,"97, 98, 99, 100, 101, 102, 103"
NY,28,S000997,9017,Stratton,Samuel,Studdiford,3,2,5,,,,,,,,3,2,5,,,,,97
NY,23,S000997,9017,Stratton,Samuel,Studdiford,3,2,5,,,,,,,,3,2,5,,,,,"98, 99, 100"
VA,9,W000121,9802,Wampler,William,Creed,0,0,0,,,,,,,,0,0,0,,,,,97
MS,1,W000428,10075,Whitten,Jamie,Lloyd,1,1,2,,,,,,,,1,1,2,,,,,"97, 98, 99, 100, 101, 102, 103"
TX,12,W000763,10391,Wright,James,Claude,3,1,4,,,,,,,,3,1,4,,,,,"97, 98, 99, 100, 101"
IL,9,Y000013,10421,Yates,Sidney,Richard,0,1,1,,0,1,1,,,,0,1,1,,,,,"97, 98, 99, 100, 101, 102, 103, 104, 105"
WI,4,Z000001,10463,Zablocki,Clement,John,1,1,2,,,,,,,,1,1,2,,,,,97
NY,7,A000052,10500,Addabbo,Joseph,Patrick,2,0,2,,,,,,,,2,0,2,,,,,97
NY,6,A000052,10500,Addabbo,Joseph,Patrick,2,0,2,,,,,,,,2,0,2,,,,,"98, 99"
OH,17,A000221,10502,Ashbrook,John,Milan,3,0,3,,,,,,,,3,0,3,,,,,97
IL,20,F000123,10517,Findley,Paul,NA,1,1,2,,,,,,,,1,1,2,,,,,97
TX,20,G000272,10520,Gonzalez,Henry,B.,4,4,8,,4,4,8,,,,3,5,8,4,4,8,105-116 random sample,"97, 98, 99, 100, 101, 102, 103, 104, 105"
NY,8,R000442,10551,Rosenthal,Benjamin,Stanley,1,1,2,,,,,,,,1,1,2,,,,,97
CA,26,R000469,10553,Rousselot,John,Harbin,2,1,3,,,,,,,,2,1,3,,,,,97
RI,1,S000762,10561,St. Germain,Fernand,Joseph,2,0,2,,,,,,,,2,0,2,,,,,"97, 98, 99, 100"
AZ,2,U000001,10566,Udall,Morris,King,3,3,6,,,,,,,,3,3,6,,,,,"97, 98, 99, 100, 101, 102"
CA,36,B000918,10573,Brown,George,Edward,1,1,2,,"5 stepchildren, washington counted",6,7,,,,1,1,2,,,,,"97, 98, 99, 100, 101, 102"
CA,42,B000918,10573,Brown,George,Edward,1,1,2,,0,6,6,,,,1,1,2,,,,,"103, 104, 105, 106"
NC,10,B000966,10574,Broyhill,James,Thomas,1,2,3,,,,,,,,,,,1,2,3,97-104 living,"97, 98, 99"
CA,6,B001156,10577,Burton,Phillip,NA,1,0,1,,,,,,,,,,,,,,,97
CA,5,B001156,10577,Burton,Phillip,NA,1,0,1,,,,,,,,,,,,,,,98
CA,2,C000475,10579,Clausen,Donald,Holst,2,0,2,,,,,,,,2,0,2,,,,,97
CA,10,E000064,10583,Edwards,William,Donlon,0,4,4,,,,,,,,0,4,4,,,,,"97, 98, 99, 100, 101, 102"
CA,16,E000064,10583,Edwards,William,Donlon,0,4,4,,,,,,,,0,4,4,,,,,103
