state,office,name,party,rating,congress
MA,U.S. House - 2,Jim McGovern,Democratic,100%,116
MA,U.S. House - 3,Lori Trahan,Democratic,100%,116
MA,U.S. House - 5,Katherine Clark,Democratic,100%,116
MA,U.S. House - 6,Seth Moulton,Democratic,100%,116
MA,U.S. House - 7,Ayanna Pressley,Democratic,100%,116
MA,U.S. House - 8,Stephen Lynch,Democratic,100%,116
MA,U.S. House - 9,Bill Keating,Democratic,100%,116
MD,U.S. Senate - Sr,Ben Cardin,Democratic,86%,116
MD,U.S. Senate - Jr,"Chris Van Hollen, Jr.",Democratic,86%,116
MD,U.S. House - 1,Andy Harris,Republican,0%,116
MD,U.S. House - 2,Dutch Ruppersberger,Democratic,86%,116
MD,U.S. House - 3,John Sarbanes,Democratic,100%,116
MD,U.S. House - 4,Anthony Brown,Democratic,83%,116
MD,U.S. House - 5,Steny Hoyer,Democratic,86%,116
MD,U.S. House - 6,David Trone,Democratic,100%,116
MD,U.S. House - 7,Kweisi Mfume,Democratic,0%,116
MD,U.S. House - 8,Jamie Raskin,Democratic,100%,116
ME,U.S. Senate - Sr,Susan Collins,Republican,29%,116
ME,U.S. Senate - Jr,"Angus King, Jr.",Independent,43%,116
ME,U.S. House - 1,Chellie Pingree,Democratic,100%,116
ME,U.S. House - 2,Jared Golden,Democratic,86%,116
MI,U.S. Senate - Sr,Debbie Stabenow,Democratic,71%,116
MI,U.S. Senate - Jr,Gary Peters,Democratic,57%,116
MI,U.S. House - 1,Jack Bergman,Republican,14%,116
MI,U.S. House - 2,Bill Huizenga,Republican,14%,116
MI,U.S. House - 4,John Moolenaar,Republican,14%,116
MI,U.S. House - 5,Dan Kildee,Democratic,100%,116
MI,U.S. House - 6,Fred Upton,Republican,14%,116
MI,U.S. House - 7,Tim Walberg,Republican,14%,116
MI,U.S. House - 8,Elissa Slotkin,Democratic,100%,116
MI,U.S. House - 9,Andy Levin,Democratic,100%,116
MI,U.S. House - 11,Haley Stevens,Democratic,86%,116
MI,U.S. House - 12,Debbie Dingell,Democratic,100%,116
MI,U.S. House - 13,Rashida Tlaib,Democratic,100%,116
MI,U.S. House - 14,Brenda Lawrence,Democratic,100%,116
MN,U.S. Senate - Sr,Amy Klobuchar,Democratic,100%,116
MN,U.S. Senate - Jr,Tina Smith,Democratic,86%,116
MN,U.S. House - 1,Jim Hagedorn,Republican,0%,116
MN,U.S. House - 2,Angie Craig,Democratic/Farmer/Labor,86%,116
