congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,,children,n_children,n_daughter,Check
97,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911,2004,0.692,-0.713,-103.6031,0.741,345,43,,,,,,,,
97,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008,0.398,-0.057,-328.03759,0.581,605,134,,0.486,-0.364,,"Chris, Mike, Tara, and Bill, Jr.",4,,
97,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,,0.177,0.161,-253.58387,0.668,628,118,,0.156,0.006,,Susan Lane and Richard Arnold;,2,,
97,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005,-0.213,0.976,-152.7205,0.79,648,59,,-0.258,0.966,,"Susan Betts, Donald Herman, and Patricia Lou",3,,
97,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988,-0.042,0.872,-173.85314,0.75,604,74,,-0.048,0.999,,"Memorie, Margaret, and Flynt;",3,3,
97,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834,-142.58973,0.793,614,58,,-0.227,0.974,,"Ronnie Gene, Linda Gail,
 Brenda Faye, Lea Ella, Kelley Reid, and Ryan Cooper;",6,,
97,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934,,0.013,0.658,-234.90103,0.696,648,107,,0.092,0.732,,"Richard C., Jr. and Claude Nevin",2,,
97,House,14862,41,6,AL,200,0,1,"SMITH, Albert Lee, Jr.",S000514,1931,1997,0.461,0.132,-160.26516,0.777,636,67,,0.46,0.139,,"Karen, Albert, and Meg",3,,
97,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-283.58114,0.56842,502,113,,0.249,-0.22,,Joni and Dawn,2,,
97,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003,0.225,-0.033,-163.88324,0.707,473,80,,0.201,0.042,,"John J. Rhodes, Thomas H. Rhodes, Elizabeth Campbell Rhodes, and James Scott Rhodes,",4,,
97,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998,-0.387,0.008,-155.43979,0.777,615,71,,-0.371,0.114,,NA,6,,
97,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002,0.422,0.611,-144.52629,0.792,621,65,,0.373,0.572,,NA,NA,,
97,House,94454,61,3,AZ,100,0,1,"STUMP, Robert Lee",S001044,1927,2003,0.329,0.944,-173.16375,0.763,641,92,,0.49,0.872,,"Karen, Bob, Bruce",3,,
97,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015,0.253,0.239,-204.16763,0.737,668,92,,0.192,0.291,,NA,NA,,
97,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-147.68536,0.787,615,72,,-0.343,0.657,,Alyse Haven,1,,
97,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938,,-0.254,0.484,-159.58741,0.771,614,68,,-0.214,0.591,,Alison Roark and Lauren Foster,2,,
97,House,14606,42,2,AR,200,0,1,"BETHUNE, Edwin Ruthvin, Jr.",B000422,1935,,0.304,-0.165,-204.30544,0.724,632,86,,0.27,-0.116,,Paige and Sam,2,,
97,House,10553,71,26,CA,200,0,1,"ROUSSELOT, John Harbin",R000469,1927,2003,0.601,0.164,-176.41303,0.727,554,80,,0.589,-0.079,,"Craig, Robin and Wendy",3,,
97,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999,-0.506,-0.028,-140.71593,0.785,580,66,,-0.549,0.073,,NA,4,,
97,House,10577,71,6,CA,100,0,1,"BURTON, Phillip",B001156,1926,1983,-0.634,-0.304,-110.7789,0.826,580,40,,-0.613,-0.25,,NA,1,1,
97,House,10579,71,2,CA,200,0,1,"CLAUSEN, Donald Holst",C000475,1923,2015,0.16,0.036,-182.11849,0.755,648,78,,0.156,-0.027,,Beverly and Dawn Marie,2,,
97,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015,-0.599,-0.419,-113.1827,0.841,652,37,,-0.566,-0.37,,NA,NA,,
97,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007,-0.517,-0.369,-201.53138,0.716,603,82,,-0.484,-0.299,,NA,NA,,
97,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005,-0.61,-0.141,-133.44472,0.816,657,55,,-0.589,-0.147,,"Lucille, Lillian, and Edward R",3,,
97,House,11063,71,12,CA,200,0,1,"McCLOSKEY, Paul Norton , Jr. (Pete)",M000343,1927,,0.028,-0.634,-245.74598,0.544,404,123,,0.171,-0.505,,"Nancy, Peter, John, and Kathleen",4,,
97,House,12001,71,32,CA,100,0,1,"ANDERSON, Glenn Malcolm",A000189,1913,1994,-0.269,-0.052,-301.47742,0.634,662,130,,-0.164,0.013,,"Melinda, Evan, and Glenn Michael",3,,
97,House,12037,71,20,CA,200,0,1,"GOLDWATER, Barry Morris, Jr.",G000268,1938,,0.355,-0.025,-119.4458,0.699,334,46,,0.376,-0.134,,NA,NA,,
97,House,13010,71,30,CA,100,1,1,"DANIELSON, George Elmore",D000043,1915,1998,-0.477,0.256,-59.49054,0.794,258,25,,-0.432,0.037,,NA,NA,,
97,House,13011,71,8,CA,100,0,1,"DELLUMS, Ronald V.",D000222,1935,,-0.644,-0.646,-113.32992,0.829,603,46,,-0.711,-0.436,,NA,3,,
97,House,14007,71,43,CA,200,0,1,"BURGENER, Clair Walter",B001080,1921,2006,0.281,0.019,-179.42522,0.72,547,83,,0.363,0,,"Rod (deceased), Greg, and John;",3,0,
97,House,14040,71,22,CA,200,0,1,"MOORHEAD, Carlos John",M000926,1922,2011,0.465,-0.119,-148.74603,0.797,656,55,,0.45,0.086,,"Theresa, Catharine, Steven, Teri, and Paul",5,,
97,House,14053,71,9,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-153.07358,0.773,595,59,,-0.528,-0.344,,"Jeffrey Peter, Beatrice Ann, Thekla Brumder, Sarah Gallun",4,,
97,House,14071,71,19,CA,200,0,1,"LAGOMARSINO, Robert John",L000020,1926,,0.378,-0.267,-173.69048,0.774,678,66,,0.367,-0.051,,NA,3,,
97,House,14076,71,5,CA,100,0,1,"BURTON, John Lowell",B001153,1932,,-0.413,-0.783,-83.13842,0.757,299,35,,-0.599,-0.393,,Kimiko,1,,
97,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-142.98125,0.796,628,56,,-0.487,-0.53,,George and Stephen,2,,
97,House,14257,71,13,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,,-0.479,-0.01,-170.5284,0.775,670,76,,-0.416,0.135,,David and Stuart,2,,
97,House,14266,71,38,CA,100,0,1,"PATTERSON, Jerry Mumford",P000121,1934,,-0.367,0.007,-211.98116,0.717,637,95,,-0.294,-0.132,,"Patrick, Jane, and Robert;",3,,
97,House,14280,71,24,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-128.16032,0.809,606,45,,-0.445,-0.221,,Carol Lynn and Michael David,2,,
97,House,14403,71,40,CA,200,0,1,"BADHAM, Robert Edward",B000024,1929,2005,0.541,0.084,-160.49218,0.755,570,73,,0.502,0.121,,"Sharon, Bob, Bill, Phyllis, and Jennifer",5,,
97,House,14405,71,23,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,,-0.44,-0.605,-172.70038,0.75,601,65,,-0.544,-0.298,,"Peter, Dayna, and Adam",3,,
97,House,14414,71,27,CA,200,0,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-141.65711,0.748,487,59,,0.402,-0.112,,"Robin Marie, Robert Kenneth II, Theresa Ann, Mark Douglas, and Kathleen Regina",5,,
97,House,14444,71,16,CA,100,0,1,"PANETTA, Leon Edward",P000047,1938,,-0.258,-0.186,-203.85213,0.738,671,102,,-0.269,-0.034,,"Christopher, Carmelo, and James",3,,
97,House,14613,71,15,CA,100,0,1,"COELHO, Tony",C000581,1942,,-0.413,0.344,-147.26745,0.791,629,59,,-0.391,0.363,,Nicole and Kristin,2,2,
97,House,14616,71,39,CA,200,0,1,"DANNEMEYER, William Edwin",D000044,1929,,0.691,-0.24,-190.89347,0.75,665,78,,0.636,-0.198,,"Bruce, Kim, and Susan;",3,,
97,House,14620,71,28,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000,-0.458,-0.076,-117.51394,0.813,567,52,,-0.515,0.014,,Cary Gordon,1,,
97,House,14624,71,4,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,,-0.455,0.36,-165.64745,0.777,656,81,,-0.507,0.411,,Dana and Anne,2,,
97,House,14630,71,33,CA,200,0,1,"GRISHAM, Wayne Richard",G000480,1923,2011,0.395,-0.092,-160.96242,0.737,528,70,,0.439,-0.001,,"Cathy, Randall, and Kellie",3,,
97,House,14644,71,37,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-249.3749,0.675,635,110,,0.374,-0.239,,"Jerry, Jr., Jenifer, Jeff, and Dan",4,,
97,House,14647,71,34,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-175.14167,0.763,648,72,,0.508,-0.086,,"Jeffrey, Kelly, and Kathleen",3,,
97,House,14649,71,3,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005,-0.404,-0.03,-154.05096,0.792,659,60,,-0.447,0.235,,Brian Robert,1,,
97,House,14652,71,17,CA,200,0,1,"PASHAYAN, Charles, Jr.",P000097,1941,,0.282,-0.232,-214.73037,0.702,606,91,,0.26,0.06,,NA,NA,,
97,House,14660,71,14,CA,200,0,1,"SHUMWAY, Norman David",S000393,1934,,0.556,0.39,-144.42767,0.802,654,68,,0.575,0.185,,"Jennifer, Neal, Perry, Tyler, Stuart, and Brenda",6,,
97,House,14669,71,18,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-176.61336,0.744,597,81,,0.365,0.032,,Christopher and Amelia,2,,
97,House,14805,71,1,CA,200,0,1,"CHAPPIE, Eugene A.",C000322,1920,1992,0.414,-0.235,-160.70399,0.766,603,64,,0.35,0.016,,"Susan Thomas, Eugene A., II, John, Tina McClendon, and Linda Reilly",5,,
97,House,14813,71,35,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-201.86211,0.729,638,91,,0.643,-0.175,,NA,NA,,
97,House,14816,71,31,CA,100,0,1,"DYMALLY, Mervyn Malcolm",D000592,1926,2012,-0.685,-0.039,-114.68237,0.804,525,43,,-0.619,-0.014,,Mark and Lynn,2,,
97,House,14821,71,21,CA,200,0,1,"FIEDLER, Bobbi",F000102,1937,,0.343,-0.258,-226.76864,0.707,653,92,,0.248,-0.104,,Lisa and Randy,2,,
97,House,14835,71,42,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-196.82899,0.741,658,87,,0.332,0.051,,Duncan Duane;,1,0,
97,House,14837,71,11,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008,-0.376,-0.033,-133.66419,0.8,598,59,,-0.345,0.115,,Annette Tillemann-Dick and Katrina Lantos-Swett,2,2,
97,House,14839,71,41,CA,200,0,1,"LOWERY, William David",L000479,1947,,0.33,-0.254,-173.08089,0.759,628,68,,0.323,-0.146,,Ashley Colleen,1,1,
97,House,14879,71,30,CA,100,2,2,"MART��NEZ, Matthew G.",M000206,1929,2011,-0.341,0.106,-48.26241,0.802,219,23,,-0.473,0.155,,,,,1
97,House,14051,62,1,CO,100,0,1,"SCHROEDER, Patricia Scott",S000142,1940,,-0.225,-0.974,-351.9028,0.58,646,153,,-0.984,-0.179,,Scott and Jamie;,2,,
97,House,14282,62,2,CO,100,0,1,"WIRTH, Timothy E.",W000647,1939,,-0.293,-0.315,-172.48722,0.761,633,75,,-0.306,-0.302,,Christopher and Kelsey,2,,
97,House,14638,62,3,CO,100,0,1,"KOGOVSEK, Raymond Peter",K000304,1941,,-0.33,0.033,-188.92828,0.749,654,87,,-0.402,0.174,,ToniRae and Lisa,2,2,
97,House,14639,62,5,CO,200,0,1,"KRAMER, Kenneth Bentley",K000322,1942,,0.43,-0.084,-229.40981,0.705,657,101,,0.365,-0.088,,"Kenneth B., Jr., and Kelly J.;",2,,
97,House,14803,62,4,CO,200,0,1,"BROWN, George Hanks (Hank)",B000919,1940,,0.511,-0.762,-327.19339,0.617,677,156,,0.578,-0.69,,"Harry, Christy, and Lori;",3,,
97,House,13009,1,1,CT,100,1,1,"COTTER, William Ross",C000799,1926,1981,-0.313,0.103,,,,,,-0.818,-0.575,,NA,NA,,
97,House,13029,1,4,CT,200,0,1,"McKINNEY, Stewart Brett",M000527,1931,1987,-0.006,-0.609,-216.59346,0.693,590,95,,0.026,-0.663,,"Stewart, Jr., Lucie, Jean, Libby, and John;",5,,
97,House,14258,1,6,CT,100,0,1,"MOFFETT, Anthony John, Jr. (Toby)",M000839,1944,,-0.377,-0.756,-84.01861,0.813,407,31,,-0.471,-0.523,,Julia,1,1,
97,House,14653,1,5,CT,100,0,1,"RATCHFORD, William Richard",R000067,1934,2011,-0.355,-0.267,-148.74597,0.798,658,55,,-0.349,-0.279,,"Shaun, Scott, and Brian",3,0,
97,House,14811,1,3,CT,200,0,1,"DeNARDIS, Lawrence Joseph",D000231,1938,,0.001,-0.672,-172.73737,0.738,568,65,,-0.002,-0.646,,"Larry, Jr., Mark, Lesley, and Gregory",4,,
97,House,14825,1,2,CT,100,0,1,"GEJDENSON, Samuel",G000120,1948,,-0.416,-0.486,-276.62892,0.656,655,120,,-0.289,-0.888,,Mia;,1,1,
97,House,14877,1,1,CT,100,2,2,"KENNELLY, Barbara Bailey",K000118,1936,,-0.346,-0.13,-77.18972,0.82,389,35,,-0.386,-0.039,,,,,
97,House,14417,11,1,DE,200,0,1,"EVANS, Thomas Beverley, Jr.",E000258,1931,,0.178,-0.384,-178.95111,0.746,610,67,,0.156,-0.366,,"Thomas B. III, Robert S., and Page",3,,
97,House,633,43,3,FL,100,0,1,"BENNETT, Charles Edward",B000371,1910,2003,-0.088,0.421,-309.61533,0.634,679,136,,-0.053,0.302,,"Bruce, James, and Lucinda;",3,,
97,House,3078,43,15,FL,100,0,1,"FASCELL, Dante Bruno",F000041,1917,1998,-0.4,0.229,-172.54675,0.743,582,77,,-0.378,0.03,,"Sandra Jeanne, Toni, and Dante Jon;",3,2,
97,House,7333,43,14,FL,100,0,1,"PEPPER, Claude Denson",P000218,1900,1989,-0.422,0.357,-114.96343,0.819,577,42,,-0.437,0.371,,NA,NA,,
97,House,10587,43,2,FL,100,0,1,"FUQUA, Don",F000430,1933,,-0.173,0.715,-159.32023,0.764,591,70,,-0.149,0.536,,Laura and John,2,,
