"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000370","Alma","Adams",,"Alma","Adams",,,,,,"1946",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NC"",""stateDistrict"":12,""parties"":[""Democrat""],""electionCirca"":false}]"
"A000055","Robert","Aderholt",,"Robert","Aderholt",,,,,,"1965",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""AL"",""stateDistrict"":4,""parties"":[""Republican""],""electionCirca"":false}]"
"A000371","Peter","Aguilar","Rey","Peter","Aguilar","Rey",,,,,"1979",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CA"",""stateDistrict"":31,""parties"":[""Democrat""],""electionCirca"":false}]"
"A000372","Rick","Allen","W.","Rick","Allen","W.",,,,,"1951",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""GA"",""stateDistrict"":12,""parties"":[""Republican""],""electionCirca"":false}]"
"A000376","Colin","Allred",,"Colin","Allred",,,,,,"1983",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""stateDistrict"":32,""parties"":[""Democrat""],""electionCirca"":false}]"
"A000369","Mark","Amodei","E.","Mark","Amodei","E.",,,,,"1958",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NV"",""stateDistrict"":2,""parties"":[""Republican""],""electionCirca"":false}]"
"A000377","Kelly","Armstrong",,"Kelly","Armstrong",,,,,,"1976",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""ND"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000375","Jodey","Arrington","Cook","Jodey","Arrington","Cook",,,,,"1972",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""stateDistrict"":19,""parties"":[""Republican""],""electionCirca"":false}]"
"A000148","Jake","Auchincloss",,"Jake","Auchincloss",,,"Mr.",,,"1988",,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""MA"",""stateDistrict"":4,""parties"":[""Democrat""],""electionCirca"":false}]"
"A000378","Cynthia","Axne",,"Cynthia","Axne",,,,,,"1965",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""IA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""IA"",""stateDistrict"":3,""parties"":[""Democrat""],""electionCirca"":false}]"
