"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000217","Richard","Armey","Keith","Richard","Armey","Keith",,,,,"1940",,"[{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""TX"",""parties"":[""Republican""]}]"
"B001234","Joe","Baca",,"Joe","Baca",,,,,,"1947",,"[{""position"":""Representative"",""congressNumber"":106,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""CA"",""parties"":[""Democrat""]}]"
"B000013","Spencer","Bachus","T.","Spencer","Bachus","T.",,,"III",,"1947",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]}]"
"B001229","Brian","Baird",,"Brian","Baird",,,,,,"1956",,"[{""position"":""Representative"",""congressNumber"":106,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""WA"",""parties"":[""Democrat""]}]"
"B000072","Richard","Baker","Hugh","Richard","Baker","Hugh",,,,,"1948",,"[{""position"":""Representative"",""congressNumber"":100,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""LA"",""parties"":[""Republican""]}]"
"B000081","John","Baldacci","Elias","John","Baldacci","Elias",,,,,"1955",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""ME"",""parties"":[""Democrat""]}]"
"B001230","Tammy","Baldwin",,"Tammy","Baldwin",,,,,,"1962",,"[{""position"":""Senator"",""congressNumber"":114,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WI"",""parties"":[""Democrat""],""electionCirca"":false}]"
"B000104","Cass","Ballenger",,"Cass","Ballenger",,,,,,"1926","2015","[{""position"":""Representative"",""congressNumber"":99,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NC"",""parties"":[""Republican""]}]"
"B000134","James","Barcia","A.","James","Barcia","A.",,,,,"1952",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""MI"",""parties"":[""Democrat""]}]"
"B001237","Dean","Barkley",,"Dean","Barkley",,,,,,"1950",,"[{""position"":""Senator"",""congressNumber"":107,""stateName"":""MN"",""parties"":[""Independence Party (Minnesota)""]}]"
"B000169","Bob","Barr",,"Bob","Barr",,,,,,"1948",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""GA"",""parties"":[""Republican""]}]"
"B000177","Thomas","Barrett","M.","Thomas","Barrett","M.",,,,,"1953",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""WI"",""parties"":[""Democrat""]}]"
"B000208","Roscoe","Bartlett","Gardner","Roscoe","Bartlett","Gardner",,,,,"1926",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""MD"",""parties"":[""Republican""]}]"
"B000213","Joe","Barton","Linus","Joe","Barton","Linus",,,,,"1949",,"[{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]}]"
"B000220","Charles","Bass","Foster","Charles","Bass","Foster",,,,,"1952",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""NH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NH"",""parties"":[""Republican""]}]"
